id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.3989065868029,1.04,0,0,0,0,0,0,0,0
1,3,2.78872889373506,1.04,0,0,0,0,0,0,0,0
1,4,3.53681749086494,1.12,0,0,0,0,0,0,0,0
1,5,4.25929951671796,1.16,0,0,0,0,0,0,0,0
1,6,5.06727118889453,1.44,0,0,0,0,0,0,0,0
1,7,6.4403726600252,2,0,0,0,0,0,0,0,0
2,3,1.36552003662129,1,0,0,0,0,0,0,0,0
2,4,2.15101979196024,1.07692307692307,0,0,0,0,0,0,0,0
2,5,2.89296667771115,1.11538461538462,0,0,0,0,0,0,0,0
2,6,3.83874356179136,1.38461538461539,0,0,0,0,0,0,0,0
2,7,5.44110369486583,1.92307692307692,0,0,0,0,0,0,0,0
3,4,0.838461586864577,1.07692307692307,0,0,0,0,0,0,0,0
3,5,1.6050540013057,1.11538461538462,0,0,0,0,0,0,0,0
3,6,2.69354838709677,1.38461538461539,0,0,0,0,0,0,0,0
3,7,4.52157033982113,1.92307692307692,0,0,0,0,0,0,0,0
4,5,0.78321102756315,1.03571428571429,0,0,0,0,0,0,0,0
4,6,1.90785025044551,1.28571428571429,0,0,0,0,0,0,0,0
4,7,3.85336930021503,1.78571428571429,0,0,0,0,0,0,0,0
5,6,1.22014646516298,1.24137931034483,0,0,0,0,0,0,0,0
5,7,3.2402343635874,1.72413793103448,0,0,0,0,0,0,0,0
6,7,2.11503285566206,1.38888888888889,0,0,0,0,0,0,0,0
