id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.48700257503585,1.28571428571429,0,0,0,0,0,0,0,0
1,3,0.432643529556273,1.96,0,0,0,0,0,0,0,0
1,4,0.912242013544871,2.88235294117649,0,0,0,0,0,0,0,0
1,5,3.00032629337351,1.30612244897959,0,0,0,0,0,0,0,0
1,6,3.45654068627343,1.83673469387755,0,0,0,0,0,0,0,0
1,7,4.8278329265856,1.46938775510204,0,0,0,0,0,0,0,0
1,8,5.65625345303762,2.26530612244898,0,0,0,0,0,0,0,0
2,3,1.53008736854204,2.52000000000001,0,0,0,0,0,0,0,0
2,4,1.32959110255748,3.7058823529412,0,0,0,0,0,0,0,0
2,5,1.39085077162568,1.01587301587301,0,0,0,0,0,0,0,0
2,6,2.09105387328862,1.42857142857143,0,0,0,0,0,0,0,0
2,7,3.11309460580487,1.14285714285714,0,0,0,0,0,0,0,0
2,8,4.28600407012792,1.76190476190476,0,0,0,0,0,0,0,0
3,4,0.673435029701475,1.47058823529412,0,0,0,0,0,0,0,0
3,5,3.46083831509096,2.56,0,0,0,0,0,0,0,0
3,6,3.91248305165526,3.6,0,0,0,0,0,0,0,0
3,7,5.70136648217387,2.88,0,0,0,0,0,0,0,0
3,8,6.43350419375574,4.44,0,0,0,0,0,0,0,0
4,5,3.45787020163452,3.76470588235296,0,0,0,0,0,0,0,0
4,6,3.94664830473862,5.29411764705885,0,0,0,0,0,0,0,0
4,7,5.8989192079774,4.23529411764708,0,0,0,0,0,0,0,0
4,8,6.62163184575988,6.52941176470591,0,0,0,0,0,0,0,0
5,6,0.931020292813189,1.40625,0,0,0,0,0,0,0,0
5,7,1.80268566465048,1.125,0,0,0,0,0,0,0,0
5,8,3.25234734696436,1.734375,0,0,0,0,0,0,0,0
6,7,0.677354879422851,1.25,0,0,0,0,0,0,0,0
6,8,2.1185911602395,1.23333333333333,0,0,0,0,0,0,0,0
7,8,1.81475072522118,1.54166666666667,0,0,0,0,0,0,0,0
