id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.776959781139887,1.29230769230769,0,0,0,0,0,0,0,0
1,3,2.05676116424829,1.2,0,0,0,0,0,0,0,0
1,4,3.06529447945001,1.55555555555555,0,0,0,0,0,0,0,0
1,5,4.29177059080333,1.47368421052632,0,0,0,0,0,0,0,0
1,6,1.35839289433742,2.47058823529412,0,0,0,0,0,0,0,0
1,7,0.402268969273852,1.95348837209302,0,0,0,0,0,0,0,0
1,8,1.62325310430066,1.55555555555555,0,0,0,0,0,0,0,0
1,9,2.72560555103535,3.23076923076923,0,0,0,0,0,0,0,0
1,10,3.45442408801026,4.94117647058824,0,0,0,0,0,0,0,0
1,11,2.06689964337332,5.99999999999999,0,0,0,0,0,0,0,0
2,3,1.50129345238642,1.07692307692308,0,0,0,0,0,0,0,0
2,4,2.66215516493057,1.2037037037037,0,0,0,0,0,0,0,0
2,5,4.07115560765311,1.14035087719299,0,0,0,0,0,0,0,0
2,6,0.509575687096138,1.91176470588236,0,0,0,0,0,0,0,0
2,7,0.703703703703704,1.51162790697674,0,0,0,0,0,0,0,0
2,8,2.81553991689987,1.2037037037037,0,0,0,0,0,0,0,0
2,9,4.46159259426912,2.5,0,0,0,0,0,0,0,0
2,10,5.57578526493287,3.82352941176471,0,0,0,0,0,0,0,0
2,11,3.94841354928291,4.64285714285714,0,0,0,0,0,0,0,0
3,4,1.06356873775867,1.29629629629629,0,0,0,0,0,0,0,0
3,5,2.35864561272317,1.2280701754386,0,0,0,0,0,0,0,0
3,6,1.50651936320645,2.05882352941177,0,0,0,0,0,0,0,0
3,7,2.4621021308335,1.62790697674418,0,0,0,0,0,0,0,0
3,8,4.33631814409716,1.29629629629629,0,0,0,0,0,0,0,0
3,9,6.32785707594689,2.69230769230769,0,0,0,0,0,0,0,0
3,10,7.5771802793387,4.11764705882353,0,0,0,0,0,0,0,0
3,11,6.12423348898982,4.99999999999999,0,0,0,0,0,0,0,0
4,5,1.64596345104278,1.05555555555555,0,0,0,0,0,0,0,0
4,6,3.03059894388513,1.58823529411765,0,0,0,0,0,0,0,0
4,7,4.04386617616853,1.25581395348837,0,0,0,0,0,0,0,0
4,8,5.99091962638639,1,0,0,0,0,0,0,0,0
4,9,9.01678989441364,2.07692307692308,0,0,0,0,0,0,0,0
4,10,10.8663135645005,3.1764705882353,0,0,0,0,0,0,0,0
4,11,9.19498744521421,3.85714285714286,0,0,0,0,0,0,0,0
5,6,4.91449654543917,1.67647058823529,0,0,0,0,0,0,0,0
5,7,5.72590604184176,1.32558139534883,0,0,0,0,0,0,0,0
5,8,7.46912591244451,1.05555555555555,0,0,0,0,0,0,0,0
5,9,10.8727046404419,2.19230769230769,0,0,0,0,0,0,0,0
5,10,12.8793992959113,3.35294117647059,0,0,0,0,0,0,0,0
5,11,11.3662320888865,4.07142857142856,0,0,0,0,0,0,0,0
6,7,1.63083998670515,1.26470588235294,0,0,0,0,0,0,0,0
6,8,4.35019532666813,1.58823529411765,0,0,0,0,0,0,0,0
6,9,7.58692222768159,1.30769230769231,0,0,0,0,0,0,0,0
6,10,9.92164612850457,2,0,0,0,0,0,0,0,0
6,11,7.50416550990182,2.42857142857142,0,0,0,0,0,0,0,0
7,8,2.67680169180845,1.25581395348837,0,0,0,0,0,0,0,0
7,9,4.78269652971606,1.65384615384616,0,0,0,0,0,0,0,0
7,10,6.35428551801416,2.52941176470589,0,0,0,0,0,0,0,0
7,11,4.14425180490621,3.07142857142857,0,0,0,0,0,0,0,0
8,9,1.03455908482793,2.07692307692308,0,0,0,0,0,0,0,0
8,10,1.77626798394933,3.1764705882353,0,0,0,0,0,0,0,0
8,11,0.375792127622959,3.85714285714286,0,0,0,0,0,0,0,0
9,10,1.24304446650165,1.52941176470588,0,0,0,0,0,0,0,0
9,11,2.46234136544875,1.85714285714286,0,0,0,0,0,0,0,0
10,11,4.72071177546496,1.21428571428571,0,0,0,0,0,0,0,0
