id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.741653961596578,1.36923076923077,0,0,0,0,0,0,0,0
1,3,1.57853659374047,1.45901639344262,0,0,0,0,0,0,0,0
1,4,4.71925748407006,1.58928571428572,0,0,0,0,0,0,0,0
1,5,5.11299279409819,1.25352112676056,0,0,0,0,0,0,0,0
2,3,0.994884876941723,1.0655737704918,0,0,0,0,0,0,0,0
2,4,4.71196881273708,1.16071428571429,0,0,0,0,0,0,0,0
2,5,5.18165891393346,1.09230769230769,0,0,0,0,0,0,0,0
3,4,3.88144304568317,1.08928571428571,0,0,0,0,0,0,0,0
3,5,4.49614670244206,1.16393442622951,0,0,0,0,0,0,0,0
4,5,1.15544306224813,1.26785714285714,0,0,0,0,0,0,0,0
