id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.08283919059921,1.43396226415094,0,0,0,0,0,0,0,0
1,3,2.31283092795698,1.31034482758621,0,0,0,0,0,0,0,0
1,4,3.19573733704309,1.61702127659575,0,0,0,0,0,0,0,0
1,5,2.59312577189412,2.375,0,0,0,0,0,0,0,0
1,6,1.88661276734528,2.41269841269841,0,0,0,0,0,0,0,0
2,3,2.18358846835654,1.09433962264151,0,0,0,0,0,0,0,0
2,4,3.0201034750485,1.12765957446809,0,0,0,0,0,0,0,0
2,5,1.97300115661746,1.65625,0,0,0,0,0,0,0,0
2,6,0.84720834693943,1.68253968253968,0,0,0,0,0,0,0,0
3,4,0.915896398700163,1.23404255319149,0,0,0,0,0,0,0,0
3,5,1.30134071415636,1.8125,0,0,0,0,0,0,0,0
3,6,2.16128927072634,1.84126984126984,0,0,0,0,0,0,0,0
4,5,1.76876937585179,1.46875,0,0,0,0,0,0,0,0
4,6,3.03936470981409,1.49206349206349,0,0,0,0,0,0,0,0
5,6,1.5748031496063,1.01587301587301,0,0,0,0,0,0,0,0
