id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.28003898602147,1.41935483870968,0,0,0,0,0,0,0,0
1,3,3.10576258681741,1.19354838709677,0,0,0,0,0,0,0,0
1,4,8.15068546009398,1.25806451612904,0,0,0,0,0,0,0,0
1,5,8.30982530521,1.5483870967742,0,0,0,0,0,0,0,0
2,3,0.503606865540028,1.18918918918919,0,0,0,0,0,0,0,0
2,4,4.8205570589448,1.12820512820512,0,0,0,0,0,0,0,0
2,5,5.28159097371337,1.09090909090909,0,0,0,0,0,0,0,0
3,4,4.73049648059361,1.05405405405406,0,0,0,0,0,0,0,0
3,5,5.23973374214581,1.2972972972973,0,0,0,0,0,0,0,0
4,5,0.988773019200297,1.23076923076923,0,0,0,0,0,0,0,0
