id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.782799618681141,1.02857142857143,0,0,0,0,0,0,0,0
1,3,1.85448804539417,1.38461538461539,0,0,0,0,0,0,0,0
1,4,2.99020095899053,1.24137931034482,0,0,0,0,0,0,0,0
1,5,3.73467237890792,1.5,0,0,0,0,0,0,0,0
1,6,5.41445181185195,1.56521739130434,0,0,0,0,0,0,0,0
1,7,6.60101417988312,2.00000000000001,0,0,0,0,0,0,0,0
1,8,8.22035686423094,1,0,0,0,0,0,0,0,0
1,9,11.073302864045,1.71428571428572,0,0,0,0,0,0,0,0
1,10,16.3302692495199,3.59999999999997,0,0,0,0,0,0,0,0
2,3,0.979911090746129,1.34615384615385,0,0,0,0,0,0,0,0
2,4,2.16956936971372,1.20689655172413,0,0,0,0,0,0,0,0
2,5,2.86460735432548,1.45833333333333,0,0,0,0,0,0,0,0
2,6,4.55436835420965,1.52173913043477,0,0,0,0,0,0,0,0
2,7,5.68237862539032,1.94444444444446,0,0,0,0,0,0,0,0
2,8,7.55685978010467,1.02857142857143,0,0,0,0,0,0,0,0
2,9,10.2864738062831,1.66666666666668,0,0,0,0,0,0,0,0
2,10,15.4679597160639,3.49999999999997,0,0,0,0,0,0,0,0
3,4,1.44782538557226,1.11538461538463,0,0,0,0,0,0,0,0
3,5,2.27543402453247,1.08333333333332,0,0,0,0,0,0,0,0
3,6,4.22848081220376,1.13043478260868,0,0,0,0,0,0,0,0
3,7,5.54843437078808,1.44444444444445,0,0,0,0,0,0,0,0
3,8,7.72641252926097,1.38461538461539,0,0,0,0,0,0,0,0
3,9,11.0450331327515,1.23809523809524,0,0,0,0,0,0,0,0
3,10,17.7517604760768,2.59999999999997,0,0,0,0,0,0,0,0
4,5,0.841475589470857,1.20833333333333,0,0,0,0,0,0,0,0
4,6,2.48850909477801,1.26086956521739,0,0,0,0,0,0,0,0
4,7,3.53146626220163,1.61111111111113,0,0,0,0,0,0,0,0
4,8,6.15415383846192,1.24137931034482,0,0,0,0,0,0,0,0
4,9,8.81001702609025,1.38095238095239,0,0,0,0,0,0,0,0
4,10,14.3672366338976,2.89999999999999,0,0,0,0,0,0,0,0
5,6,2.03478131336259,1.04347826086956,0,0,0,0,0,0,0,0
5,7,3.15581743348208,1.33333333333334,0,0,0,0,0,0,0,0
5,8,6.13199713705811,1.5,0,0,0,0,0,0,0,0
5,9,9.04665547639802,1.14285714285715,0,0,0,0,0,0,0,0
5,10,15.5033761252275,2.39999999999999,0,0,0,0,0,0,0,0
6,7,0.902768562113253,1.27777777777779,0,0,0,0,0,0,0,0
6,8,4.61717438909018,1.56521739130434,0,0,0,0,0,0,0,0
6,9,7.09105477705818,1.09523809523811,0,0,0,0,0,0,0,0
6,10,13.090909090909,2.3,0,0,0,0,0,0,0,0
7,8,4.35956762810008,2.00000000000001,0,0,0,0,0,0,0,0
7,9,7.05170161921903,1.16666666666667,0,0,0,0,0,0,0,0
7,10,14.107188065027,1.79999999999998,0,0,0,0,0,0,0,0
8,9,0.762502239021078,1.71428571428572,0,0,0,0,0,0,0,0
8,10,3.49351275651917,3.59999999999997,0,0,0,0,0,0,0,0
9,10,3.87150533901356,2.09999999999997,0,0,0,0,0,0,0,0
