id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.85022109481321,1.20454545454546,0,0,0,0,0,0,0,0
1,3,3.52729147895055,1.11363636363636,0,0,0,0,0,0,0,0
1,4,7.66676131263673,1.38636363636364,0,0,0,0,0,0,0,0
1,5,1.74835239900631,1.72727272727273,0,0,0,0,0,0,0,0
1,6,2.8460375114883,1.56818181818182,0,0,0,0,0,0,0,0
1,7,4.17823777707345,1.56818181818182,0,0,0,0,0,0,0,0
1,8,5.1382858444869,2.77272727272728,0,0,0,0,0,0,0,0
2,3,1.46288833867332,1.08163265306123,0,0,0,0,0,0,0,0
2,4,5.49179555388429,1.15094339622641,0,0,0,0,0,0,0,0
2,5,1.79103322471095,1.43396226415094,0,0,0,0,0,0,0,0
2,6,1.60375298894704,1.30188679245283,0,0,0,0,0,0,0,0
2,7,2.46704971954996,1.30188679245283,0,0,0,0,0,0,0,0
2,8,3.88395338251516,2.30188679245283,0,0,0,0,0,0,0,0
3,4,4.33637316560798,1.24489795918368,0,0,0,0,0,0,0,0
3,5,2.74158494305758,1.55102040816327,0,0,0,0,0,0,0,0
3,6,1.69213755440165,1.40816326530612,0,0,0,0,0,0,0,0
3,7,1.57458448119587,1.40816326530612,0,0,0,0,0,0,0,0
3,8,3.19896404352188,2.48979591836735,0,0,0,0,0,0,0,0
4,5,5.70808520143526,1.24590163934426,0,0,0,0,0,0,0,0
4,6,4.44927359272933,1.13114754098361,0,0,0,0,0,0,0,0
4,7,2.94827198411335,1.13114754098361,0,0,0,0,0,0,0,0
4,8,1.38866640996338,2,0,0,0,0,0,0,0,0
5,6,1.44375320106609,1.10144927536232,0,0,0,0,0,0,0,0
5,7,2.78746984008681,1.10144927536232,0,0,0,0,0,0,0,0
5,8,3.86821211845576,1.60526315789474,0,0,0,0,0,0,0,0
6,7,1.42363182678664,1,0,0,0,0,0,0,0,0
6,8,2.9262332324843,1.76811594202899,0,0,0,0,0,0,0,0
7,8,1.99393284944813,1.76811594202899,0,0,0,0,0,0,0,0
