id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.01477823829255,1.28358208955224,0,0,0,0,0,0,0,0
1,3,3.03246731032103,1.95454545454546,0,0,0,0,0,0,0,0
1,4,3.42295967683605,1.75510204081633,0,0,0,0,0,0,0,0
1,5,6.79965272783764,2.68749999999999,0,0,0,0,0,0,0,0
1,6,7.86543407229682,2.68749999999999,0,0,0,0,0,0,0,0
2,3,2.17421565172056,1.52272727272727,0,0,0,0,0,0,0,0
2,4,2.66871267625325,1.36734693877551,0,0,0,0,0,0,0,0
2,5,6.54384878669801,2.09375,0,0,0,0,0,0,0,0
2,6,7.81184327920336,2.09375,0,0,0,0,0,0,0,0
3,4,0.733866044333401,1.11363636363636,0,0,0,0,0,0,0,0
3,5,5.38236707650643,1.375,0,0,0,0,0,0,0,0
3,6,7.04262103767712,1.375,0,0,0,0,0,0,0,0
4,5,4.22943575550421,1.53125,0,0,0,0,0,0,0,0
4,6,5.78885979524506,1.53125,0,0,0,0,0,0,0,0
5,6,1.97376593169631,1,0,0,0,0,0,0,0,0
