id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.81788690606033,2.72727272727273,0,0,0,0,0,0,0,0
1,3,1.66261537850806,1.52542372881356,0,0,0,0,0,0,0,0
1,4,2.10144927536232,1.875,0,0,0,0,0,0,0,0
1,5,2.23369420090072,1.83673469387755,0,0,0,0,0,0,0,0
1,6,1.3807906576439,1.88888888888889,0,0,0,0,0,0,0,0
1,7,4.19793164750638,1.02222222222222,0,0,0,0,0,0,0,0
1,8,2.60299250534967,2.92222222222222,0,0,0,0,0,0,0,0
2,3,2.25010501750297,1.78787878787879,0,0,0,0,0,0,0,0
2,4,3.50880183126864,1.45454545454545,0,0,0,0,0,0,0,0
2,5,4.83267002634994,1.48484848484849,0,0,0,0,0,0,0,0
2,6,2.58034992428501,5.15151515151515,0,0,0,0,0,0,0,0
2,7,6.90168211380386,2.78787878787878,0,0,0,0,0,0,0,0
2,8,3.70976097824441,7.96969696969697,0,0,0,0,0,0,0,0
3,4,0.724525138067825,1.22916666666667,0,0,0,0,0,0,0,0
3,5,1.95390116607873,1.20408163265306,0,0,0,0,0,0,0,0
3,6,1.65320036647912,2.88135593220339,0,0,0,0,0,0,0,0
3,7,4.38973448739061,1.5593220338983,0,0,0,0,0,0,0,0
3,8,2.92287505119021,4.45762711864407,0,0,0,0,0,0,0,0
4,5,1.54639175257732,1.02083333333333,0,0,0,0,0,0,0,0
4,6,1.53052299272504,3.54166666666667,0,0,0,0,0,0,0,0
4,7,4.19275371008952,1.91666666666666,0,0,0,0,0,0,0,0
4,8,2.835562592308,5.47916666666667,0,0,0,0,0,0,0,0
5,6,0.87171568904683,3.46938775510204,0,0,0,0,0,0,0,0
5,7,3.3323674472031,1.87755102040816,0,0,0,0,0,0,0,0
5,8,2.34771429471283,5.3673469387755,0,0,0,0,0,0,0,0
6,7,1.66276031539165,1.84782608695652,0,0,0,0,0,0,0,0
6,8,1.32632293796625,1.54705882352941,0,0,0,0,0,0,0,0
7,8,1.31295711190535,2.85869565217392,0,0,0,0,0,0,0,0
