id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.707142853462106,1.2,0,0,0,0,0,0,0,0
1,3,1.66807045235738,2.09259259259259,0,0,0,0,0,0,0,0
1,4,2.03333333333333,1.77777777777778,0,0,0,0,0,0,0,0
1,5,2.8026707033077,1.05555555555556,0,0,0,0,0,0,0,0
1,6,3.68260354796813,1.01851851851852,0,0,0,0,0,0,0,0
1,7,6.26489629761216,1.03703703703704,0,0,0,0,0,0,0,0
1,8,6.4346239698424,1.12962962962963,0,0,0,0,0,0,0,0
1,9,6.24314061460478,1.40740740740741,0,0,0,0,0,0,0,0
1,10,6.9502255265396,1.42592592592593,0,0,0,0,0,0,0,0
2,3,1.42916101322786,2.51111111111111,0,0,0,0,0,0,0,0
2,4,1.70864591169933,2.13333333333333,0,0,0,0,0,0,0,0
2,5,2.36378221481858,1.26666666666667,0,0,0,0,0,0,0,0
2,6,3.32243886324489,1.22222222222222,0,0,0,0,0,0,0,0
2,7,6.15555789914293,1.24444444444445,0,0,0,0,0,0,0,0
2,8,6.33403280068188,1.35555555555555,0,0,0,0,0,0,0,0
2,9,6.14118546120614,1.68888888888889,0,0,0,0,0,0,0,0
2,10,6.89470466605654,1.71111111111111,0,0,0,0,0,0,0,0
3,4,0.389210260891775,1.17708333333333,0,0,0,0,0,0,0,0
3,5,1.12112462073799,1.98245614035088,0,0,0,0,0,0,0,0
3,6,1.66714491437693,2.05454545454546,0,0,0,0,0,0,0,0
3,7,3.29665994726251,2.01785714285714,0,0,0,0,0,0,0,0
3,8,3.37491406113825,1.85245901639345,0,0,0,0,0,0,0,0
3,9,3.47052843545291,1.48684210526316,0,0,0,0,0,0,0,0
3,10,3.86912274337789,1.46753246753247,0,0,0,0,0,0,0,0
4,5,0.770521431575773,1.68421052631579,0,0,0,0,0,0,0,0
4,6,1.32615790692058,1.74545454545454,0,0,0,0,0,0,0,0
4,7,3.13263609975975,1.71428571428571,0,0,0,0,0,0,0,0
4,8,3.23382514304395,1.57377049180328,0,0,0,0,0,0,0,0
4,9,3.35479222628729,1.26315789473684,0,0,0,0,0,0,0,0
4,10,3.81023520864749,1.24675324675324,0,0,0,0,0,0,0,0
5,6,0.894017103657783,1.03636363636364,0,0,0,0,0,0,0,0
5,7,3.4854788660722,1.01785714285714,0,0,0,0,0,0,0,0
5,8,3.70252675821374,1.07017543859649,0,0,0,0,0,0,0,0
5,9,3.8227223214875,1.33333333333333,0,0,0,0,0,0,0,0
5,10,4.4962794946299,1.35087719298246,0,0,0,0,0,0,0,0
6,7,2.65050189500603,1.01818181818182,0,0,0,0,0,0,0,0
6,8,2.92872627166082,1.10909090909091,0,0,0,0,0,0,0,0
6,9,3.14067176329518,1.38181818181818,0,0,0,0,0,0,0,0
6,10,3.85678239360073,1.4,0,0,0,0,0,0,0,0
7,8,0.589991277108454,1.08928571428571,0,0,0,0,0,0,0,0
7,9,0.990427090630557,1.35714285714285,0,0,0,0,0,0,0,0
7,10,1.82080674845478,1.375,0,0,0,0,0,0,0,0
8,9,0.52336326336477,1.24590163934426,0,0,0,0,0,0,0,0
8,10,1.2838976574116,1.26229508196722,0,0,0,0,0,0,0,0
9,10,0.736592897980776,1.01315789473684,0,0,0,0,0,0,0,0
