id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.08800766714242,1.05263157894737,0,0,0,0,0,0,0,0
1,3,1.80307558284247,1.02564102564102,0,0,0,0,0,0,0,0
1,4,2.6559971738792,1.25,0,0,0,0,0,0,0,0
1,5,3.75408556962073,1.15,0,0,0,0,0,0,0,0
1,6,5.28068371543513,1.225,0,0,0,0,0,0,0,0
1,7,6.75728620262578,1.3,0,0,0,0,0,0,0,0
1,8,8.51912802787773,1.2,0,0,0,0,0,0,0,0
1,9,8.89774885240771,1.55,0,0,0,0,0,0,0,0
2,3,0.74785350903314,1.02631578947369,0,0,0,0,0,0,0,0
2,4,1.94878909213384,1.31578947368421,0,0,0,0,0,0,0,0
2,5,3.0880181361304,1.21052631578947,0,0,0,0,0,0,0,0
2,6,4.62383377904354,1.28947368421053,0,0,0,0,0,0,0,0
2,7,6.15591655580023,1.36842105263158,0,0,0,0,0,0,0,0
2,8,7.93174131456852,1.26315789473684,0,0,0,0,0,0,0,0
2,9,8.40005952359862,1.63157894736842,0,0,0,0,0,0,0,0
3,4,1.52949373716724,1.28205128205128,0,0,0,0,0,0,0,0
3,5,2.63058928759318,1.17948717948718,0,0,0,0,0,0,0,0
3,6,4.08743539388374,1.25641025641025,0,0,0,0,0,0,0,0
3,7,5.60784207753518,1.33333333333333,0,0,0,0,0,0,0,0
3,8,7.3322612987899,1.23076923076923,0,0,0,0,0,0,0,0
3,9,7.87448095114689,1.58974358974359,0,0,0,0,0,0,0,0
4,5,0.920034061114646,1.08695652173913,0,0,0,0,0,0,0,0
4,6,2.34068978955988,1.02040816326531,0,0,0,0,0,0,0,0
4,7,3.76125761196031,1.04,0,0,0,0,0,0,0,0
4,8,5.22250639966519,1.04166666666667,0,0,0,0,0,0,0,0
4,9,5.9800902661947,1.24,0,0,0,0,0,0,0,0
5,6,1.55892569017231,1.06521739130435,0,0,0,0,0,0,0,0
5,7,3.05183935497318,1.13043478260869,0,0,0,0,0,0,0,0
5,8,4.54184308566003,1.04347826086957,0,0,0,0,0,0,0,0
5,9,5.4144503221296,1.34782608695652,0,0,0,0,0,0,0,0
6,7,1.50416863483825,1.06122448979592,0,0,0,0,0,0,0,0
6,8,2.88742624345696,1.02083333333333,0,0,0,0,0,0,0,0
6,9,3.94633672835625,1.26530612244898,0,0,0,0,0,0,0,0
7,8,1.28160056179763,1.08333333333333,0,0,0,0,0,0,0,0
7,9,2.50984518816897,1.1923076923077,0,0,0,0,0,0,0,0
8,9,1.43604714579942,1.29166666666667,0,0,0,0,0,0,0,0
