id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.898550000192893,1,0,0,0,0,0,0,0,0
1,3,1.87103747958185,1.42424242424242,0,0,0,0,0,0,0,0
1,4,4.41092947439936,1.06451612903226,0,0,0,0,0,0,0,0
1,5,6.68801677714602,1,0,0,0,0,0,0,0,0
1,6,7.2435474452672,1.12121212121212,0,0,0,0,0,0,0,0
1,7,9.7500110904027,1.06060606060606,0,0,0,0,0,0,0,0
1,8,7.72655907899106,2.21212121212122,0,0,0,0,0,0,0,0
2,3,1.13866698380167,1.42424242424242,0,0,0,0,0,0,0,0
2,4,3.49699927169709,1.06451612903226,0,0,0,0,0,0,0,0
2,5,5.80026043555751,1,0,0,0,0,0,0,0,0
2,6,6.40269394832507,1.12121212121212,0,0,0,0,0,0,0,0
2,7,8.88294943458755,1.06060606060606,0,0,0,0,0,0,0,0
2,8,7.1670861255817,2.21212121212121,0,0,0,0,0,0,0,0
3,4,1.84062562613776,1.51612903225807,0,0,0,0,0,0,0,0
3,5,3.74434991019803,1.42424242424242,0,0,0,0,0,0,0,0
3,6,4.32392031009738,1.27027027027027,0,0,0,0,0,0,0,0
3,7,6.31849734393442,1.34285714285714,0,0,0,0,0,0,0,0
3,8,5.58933135535906,1.5531914893617,0,0,0,0,0,0,0,0
4,5,2.48614323865803,1.06451612903226,0,0,0,0,0,0,0,0
4,6,3.30999979092401,1.19354838709677,0,0,0,0,0,0,0,0
4,7,5.77558984143862,1.12903225806452,0,0,0,0,0,0,0,0
4,8,5.20409097439913,2.35483870967743,0,0,0,0,0,0,0,0
5,6,0.958314847499911,1.12121212121212,0,0,0,0,0,0,0,0
5,7,3.27541962234187,1.06060606060606,0,0,0,0,0,0,0,0
5,8,3.65224734161823,2.21212121212122,0,0,0,0,0,0,0,0
6,7,2.16826863854295,1.05714285714285,0,0,0,0,0,0,0,0
6,8,2.91204395571221,1.97297297297298,0,0,0,0,0,0,0,0
7,8,1.59914672034687,2.08571428571429,0,0,0,0,0,0,0,0
