id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.56773798439004,1.61538461538462,0,0,0,0,0,0,0,0
1,3,6.18540145637052,1.09230769230769,0,0,0,0,0,0,0,0
1,4,7.92889317236494,1.0655737704918,0,0,0,0,0,0,0,0
1,5,10.4994540730997,1.41304347826087,0,0,0,0,0,0,0,0
1,6,11.227764475142,1.10169491525424,0,0,0,0,0,0,0,0
2,3,1.33566240492025,1.47887323943662,0,0,0,0,0,0,0,0
2,4,2.37631322992162,1.72131147540983,0,0,0,0,0,0,0,0
2,5,3.72118256529082,2.28260869565217,0,0,0,0,0,0,0,0
2,6,4.80276123360135,1.77966101694916,0,0,0,0,0,0,0,0
3,4,1.21561995051722,1.16393442622951,0,0,0,0,0,0,0,0
3,5,2.80332759910011,1.54347826086956,0,0,0,0,0,0,0,0
3,6,4.25257318552249,1.20338983050848,0,0,0,0,0,0,0,0
4,5,1.56622241982271,1.32608695652174,0,0,0,0,0,0,0,0
4,6,3.27806260532718,1.03389830508475,0,0,0,0,0,0,0,0
5,6,2.16265982199442,1.28260869565217,0,0,0,0,0,0,0,0
