id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.93642351234965,1.11460674157303,0,0,0,0,0,0,0,0
1,3,4.23732330756164,1.20449438202247,0,0,0,0,0,0,0,0
1,4,5.55843633562536,1.20923913043478,0,0,0,0,0,0,0,0
1,5,6.13741603071476,1.35670731707317,0,0,0,0,0,0,0,0
1,6,7.79298746200627,1.50337837837838,0,0,0,0,0,0,0,0
1,7,7.35648300565952,1.15885416666667,0,0,0,0,0,0,0,0
1,8,9.17844545455024,1.23611111111111,0,0,0,0,0,0,0,0
1,9,10.1017129319404,1.06971153846154,0,0,0,0,0,0,0,0
2,3,2.3343761351565,1.08064516129033,0,0,0,0,0,0,0,0
2,4,3.24503683497686,1.34782608695652,0,0,0,0,0,0,0,0
2,5,3.64182509177163,1.51219512195122,0,0,0,0,0,0,0,0
2,6,5.0584180434939,1.67567567567568,0,0,0,0,0,0,0,0
2,7,4.94552974541757,1.29166666666667,0,0,0,0,0,0,0,0
2,8,6.60801198111524,1.37777777777777,0,0,0,0,0,0,0,0
2,9,7.65278863550154,1.19230769230769,0,0,0,0,0,0,0,0
3,4,0.471025960430839,1.45652173913044,0,0,0,0,0,0,0,0
3,5,0.685185185185184,1.63414634146342,0,0,0,0,0,0,0,0
3,6,1.94625455805085,1.81081081081082,0,0,0,0,0,0,0,0
3,7,2.11561839891552,1.39583333333334,0,0,0,0,0,0,0,0
3,8,3.62499999999999,1.48888888888889,0,0,0,0,0,0,0,0
3,9,4.80070287676805,1.28846153846154,0,0,0,0,0,0,0,0
4,5,0.399001263395627,1.1219512195122,0,0,0,0,0,0,0,0
4,6,1.95763669097414,1.24324324324325,0,0,0,0,0,0,0,0
4,7,2.10761837831478,1.04347826086956,0,0,0,0,0,0,0,0
4,8,3.94217654949005,1.02222222222222,0,0,0,0,0,0,0,0
4,9,5.33697857170941,1.13043478260869,0,0,0,0,0,0,0,0
5,6,1.67129534774138,1.10810810810811,0,0,0,0,0,0,0,0
5,7,1.90365730170455,1.17073170731707,0,0,0,0,0,0,0,0
5,8,3.86046511627906,1.09756097560976,0,0,0,0,0,0,0,0
5,9,5.34758977329011,1.26829268292683,0,0,0,0,0,0,0,0
6,7,0.595368514300237,1.2972972972973,0,0,0,0,0,0,0,0
6,8,2.56439956943052,1.21621621621622,0,0,0,0,0,0,0,0
6,9,4.22521213953068,1.40540540540541,0,0,0,0,0,0,0,0
7,8,1.7574314074924,1.06666666666666,0,0,0,0,0,0,0,0
7,9,3.29369093874942,1.08333333333334,0,0,0,0,0,0,0,0
8,9,1.71112282807708,1.15555555555555,0,0,0,0,0,0,0,0
