id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.51850008760941,1,0,0,0,0,0,0,0,0
1,3,2.35898984263468,1.29411764705882,0,0,0,0,0,0,0,0
1,4,3.20499183403796,1.06451612903226,0,0,0,0,0,0,0,0
1,5,3.67706841866954,1.01515151515152,0,0,0,0,0,0,0,0
1,6,4.67477160340115,1.1,0,0,0,0,0,0,0,0
1,7,6.54963796451803,2.12903225806453,0,0,0,0,0,0,0,0
1,8,5.82443499631169,1.04761904761905,0,0,0,0,0,0,0,0
1,9,6.71495314455811,1.13793103448276,0,0,0,0,0,0,0,0
1,10,7.13519455738539,1.04545454545455,0,0,0,0,0,0,0,0
1,11,8.61986331187607,1.12820512820513,0,0,0,0,0,0,0,0
2,3,0.686851986422716,1.29411764705882,0,0,0,0,0,0,0,0
2,4,1.65028776491594,1.06451612903226,0,0,0,0,0,0,0,0
2,5,2.18419434984239,1.01515151515152,0,0,0,0,0,0,0,0
2,6,3.09890909697797,1.1,0,0,0,0,0,0,0,0
2,7,4.5176758692781,2.12903225806453,0,0,0,0,0,0,0,0
2,8,4.2945526543578,1.04761904761905,0,0,0,0,0,0,0,0
2,9,5.12549330130142,1.13793103448276,0,0,0,0,0,0,0,0
2,10,5.66950788128142,1.04545454545455,0,0,0,0,0,0,0,0
2,11,7.01696534237464,1.12820512820513,0,0,0,0,0,0,0,0
3,4,1.19140814317135,1.2156862745098,0,0,0,0,0,0,0,0
3,5,1.80580076512675,1.31372549019608,0,0,0,0,0,0,0,0
3,6,2.82005007263025,1.17647058823529,0,0,0,0,0,0,0,0
3,7,4.38553270254236,1.64516129032259,0,0,0,0,0,0,0,0
3,8,4.17198183610032,1.23529411764706,0,0,0,0,0,0,0,0
3,9,5.11044585599601,1.13725490196078,0,0,0,0,0,0,0,0
3,10,5.72820749546585,1.35294117647059,0,0,0,0,0,0,0,0
3,11,7.28181663644615,1.14705882352941,0,0,0,0,0,0,0,0
4,5,0.61480248244646,1.08064516129032,0,0,0,0,0,0,0,0
4,6,1.46906650957924,1.03333333333334,0,0,0,0,0,0,0,0
4,7,2.44682138820337,2.00000000000001,0,0,0,0,0,0,0,0
4,8,2.7440116617828,1.01612903225807,0,0,0,0,0,0,0,0
4,9,3.53841026765159,1.06896551724138,0,0,0,0,0,0,0,0
4,10,4.23030955240328,1.11290322580645,0,0,0,0,0,0,0,0
4,11,5.50153173816674,1.05982905982906,0,0,0,0,0,0,0,0
5,6,0.787559039373227,1.11666666666667,0,0,0,0,0,0,0,0
5,7,1.51505701243785,2.16129032258066,0,0,0,0,0,0,0,0
5,8,2.02855356986174,1.06349206349206,0,0,0,0,0,0,0,0
5,9,2.76259588068903,1.15517241379311,0,0,0,0,0,0,0,0
5,10,3.49181104545515,1.02985074626866,0,0,0,0,0,0,0,0
5,11,4.65595935256507,1.14529914529915,0,0,0,0,0,0,0,0
6,7,0.575324840119054,1.93548387096775,0,0,0,0,0,0,0,0
6,8,1.33660119073575,1.05,0,0,0,0,0,0,0,0
6,9,2.08434955584629,1.03448275862069,0,0,0,0,0,0,0,0
6,10,2.90677001848929,1.15,0,0,0,0,0,0,0,0
6,11,4.08966122289934,1.02564102564102,0,0,0,0,0,0,0,0
7,8,1.23445517679742,2.03225806451615,0,0,0,0,0,0,0,0
7,9,2.21829739391784,1.87096774193549,0,0,0,0,0,0,0,0
7,10,3.280060975043,2.22580645161292,0,0,0,0,0,0,0,0
7,11,4.93103716198731,1.88709677419356,0,0,0,0,0,0,0,0
8,9,0.67450371579308,1.08620689655173,0,0,0,0,0,0,0,0
8,10,1.60607847331399,1.09523809523809,0,0,0,0,0,0,0,0
8,11,2.69329852898789,1.07692307692308,0,0,0,0,0,0,0,0
9,10,1.03512614833763,1.18965517241379,0,0,0,0,0,0,0,0
9,11,2.15245786026278,1.00862068965517,0,0,0,0,0,0,0,0
10,11,0.979301353960316,1.17948717948718,0,0,0,0,0,0,0,0
