id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.26791143364388,1.53488372093024,0,0,0,0,0,0,0,0
1,3,3.45954320520211,1.62790697674419,0,0,0,0,0,0,0,0
1,4,4.89408972909557,1.58139534883721,0,0,0,0,0,0,0,0
1,5,7.50710478418501,1.27906976744186,0,0,0,0,0,0,0,0
1,6,9.00253207035034,1.04651162790698,0,0,0,0,0,0,0,0
1,7,2.28909888417084,1.72093023255815,0,0,0,0,0,0,0,0
2,3,1.18895035269622,1.06060606060606,0,0,0,0,0,0,0,0
2,4,2.37652297255324,1.03030303030303,0,0,0,0,0,0,0,0
2,5,4.48202170273811,1.2,0,0,0,0,0,0,0,0
2,6,5.40038806181975,1.46666666666667,0,0,0,0,0,0,0,0
2,7,0.626172369826946,1.12121212121212,0,0,0,0,0,0,0,0
3,4,1.13777346620823,1.02941176470588,0,0,0,0,0,0,0,0
3,5,3.07976102969046,1.27272727272728,0,0,0,0,0,0,0,0
3,6,3.84015201337426,1.55555555555555,0,0,0,0,0,0,0,0
3,7,1.52836163086207,1.05714285714286,0,0,0,0,0,0,0,0
4,5,1.98435616175469,1.23636363636364,0,0,0,0,0,0,0,0
4,6,2.63658899621605,1.51111111111111,0,0,0,0,0,0,0,0
4,7,2.59659643247239,1.08823529411765,0,0,0,0,0,0,0,0
5,6,0.572712842531057,1.22222222222222,0,0,0,0,0,0,0,0
5,7,4.68753863433792,1.34545454545455,0,0,0,0,0,0,0,0
6,7,5.55525746754216,1.64444444444445,0,0,0,0,0,0,0,0
