id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.64115317472537,1.3469387755102,0,0,0,0,0,0,0,0
1,3,2.74721147021982,1.03030303030303,0,0,0,0,0,0,0,0
1,4,4.78409520436725,1.1578947368421,0,0,0,0,0,0,0,0
1,5,6.07102604834174,1.1060606060606,0,0,0,0,0,0,0,0
1,6,2.54249653154872,2.36363636363636,0,0,0,0,0,0,0,0
2,3,1.55228829411952,1.38775510204082,0,0,0,0,0,0,0,0
2,4,3.77096607240897,1.16326530612245,0,0,0,0,0,0,0,0
2,5,5.37112953838765,1.48979591836735,0,0,0,0,0,0,0,0
2,6,2.05463738910637,3.18367346938775,0,0,0,0,0,0,0,0
3,4,1.80028442197337,1.19298245614035,0,0,0,0,0,0,0,0
3,5,3.41988139459263,1.07352941176471,0,0,0,0,0,0,0,0
3,6,1.64722463904581,2.29411764705882,0,0,0,0,0,0,0,0
4,5,1.97841906881083,1.28070175438596,0,0,0,0,0,0,0,0
4,6,1.60582597757235,2.73684210526315,0,0,0,0,0,0,0,0
5,6,2.06101046916352,2.13698630136987,0,0,0,0,0,0,0,0
