id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.28928379902973,1.25352112676056,0,0,0,0,0,0,0,0
1,3,4.01150601977936,1.64814814814815,0,0,0,0,0,0,0,0
1,4,5.89471834067465,2.06976744186046,0,0,0,0,0,0,0,0
1,5,5.67465273593631,1.74509803921569,0,0,0,0,0,0,0,0
1,6,6.16841325647106,1.48333333333333,0,0,0,0,0,0,0,0
1,7,7.22896129493308,1.56140350877193,0,0,0,0,0,0,0,0
2,3,1.66099729078647,1.31481481481482,0,0,0,0,0,0,0,0
2,4,3.61442895145575,1.65116279069767,0,0,0,0,0,0,0,0
2,5,3.54284256000724,1.3921568627451,0,0,0,0,0,0,0,0
2,6,4.2442748091603,1.18333333333333,0,0,0,0,0,0,0,0
2,7,5.40142712984842,1.24561403508772,0,0,0,0,0,0,0,0
3,4,2.13412022278633,1.25581395348836,0,0,0,0,0,0,0,0
3,5,2.26866658470618,1.05882352941176,0,0,0,0,0,0,0,0
3,6,3.13367908349562,1.11111111111112,0,0,0,0,0,0,0,0
3,7,4.4111589393325,1.05555555555556,0,0,0,0,0,0,0,0
4,5,0.723482473868908,1.1860465116279,0,0,0,0,0,0,0,0
4,6,1.50748282820421,1.3953488372093,0,0,0,0,0,0,0,0
4,7,2.83289604468643,1.32558139534883,0,0,0,0,0,0,0,0
5,6,1.12421459385993,1.1764705882353,0,0,0,0,0,0,0,0
5,7,2.42249545406503,1.11764705882353,0,0,0,0,0,0,0,0
6,7,1.17047217548939,1.05263157894737,0,0,0,0,0,0,0,0
