id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.7186841583883,1.5,0,0,0,0,0,0,0,0
1,3,3.97495523588112,1.21739130434783,0,0,0,0,0,0,0,0
1,4,5.36215327418107,2.41304347826087,0,0,0,0,0,0,0,0
1,5,7.0416700909481,2.1304347826087,0,0,0,0,0,0,0,0
2,3,1.68739325588317,1.23214285714286,0,0,0,0,0,0,0,0
2,4,3.57986481571098,1.60869565217391,0,0,0,0,0,0,0,0
2,5,4.89327453559826,1.42028985507247,0,0,0,0,0,0,0,0
3,4,2.63299480114604,1.98214285714286,0,0,0,0,0,0,0,0
3,5,3.95627241416443,1.75,0,0,0,0,0,0,0,0
4,5,0.848523820620487,1.13265306122449,0,0,0,0,0,0,0,0
