id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.75431950903812,1.08888888888889,0,0,0,0,0,0,0,0
1,3,3.25745820546612,1.02272727272727,0,0,0,0,0,0,0,0
1,4,4.49103728558189,1.09756097560976,0,0,0,0,0,0,0,0
1,5,6.44106060132599,2.46666666666667,0,0,0,0,0,0,0,0
1,6,10.284580978804,1.35555555555555,0,0,0,0,0,0,0,0
1,7,11.1454682514729,3.46153846153844,0,0,0,0,0,0,0,0
1,8,2.97352172105709,2.6470588235294,0,0,0,0,0,0,0,0
2,3,1.34438706306131,1.11363636363636,0,0,0,0,0,0,0,0
2,4,2.45917280080061,1.19512195121951,0,0,0,0,0,0,0,0
2,5,5.2961365635716,2.26530612244898,0,0,0,0,0,0,0,0
2,6,8.42744924793063,1.24489795918367,0,0,0,0,0,0,0,0
2,7,7.76684500769579,3.76923076923075,0,0,0,0,0,0,0,0
2,8,0.954665697092324,2.88235294117646,0,0,0,0,0,0,0,0
3,4,1.13338760980013,1.07317073170732,0,0,0,0,0,0,0,0
3,5,4.70417707977908,2.52272727272728,0,0,0,0,0,0,0,0
3,6,7.65048869839458,1.38636363636363,0,0,0,0,0,0,0,0
3,7,6.25479809670404,3.38461538461536,0,0,0,0,0,0,0,0
3,8,2.18924590556756,2.58823529411763,0,0,0,0,0,0,0,0
4,5,4.21950625467495,2.70731707317074,0,0,0,0,0,0,0,0
4,6,6.95116706516674,1.48780487804878,0,0,0,0,0,0,0,0
4,7,4.8190864242442,3.15384615384613,0,0,0,0,0,0,0,0
4,8,3.83057509893554,2.41176470588234,0,0,0,0,0,0,0,0
5,6,0.99663102049965,1.81967213114755,0,0,0,0,0,0,0,0
5,7,3.36499122925229,8.53846153846149,0,0,0,0,0,0,0,0
5,8,6.73233546552104,6.52941176470586,0,0,0,0,0,0,0,0
6,7,6.15842703300268,4.69230769230765,0,0,0,0,0,0,0,0
6,8,11.9302776712152,3.58823529411762,0,0,0,0,0,0,0,0
7,8,15.9336471377745,1.30769230769231,0,0,0,0,0,0,0,0
