id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.15793795710306,1.85714285714286,0,0,0,0,0,0,0,0
1,3,2.22584385195319,2.03921568627451,0,0,0,0,0,0,0,0
1,4,1.88526935609365,1.05769230769231,0,0,0,0,0,0,0,0
1,5,4.2091603972764,1.85714285714286,0,0,0,0,0,0,0,0
1,6,5.05913173977933,2.12244897959184,0,0,0,0,0,0,0,0
1,7,4.67947983241598,1.02884615384615,0,0,0,0,0,0,0,0
1,8,5.81470444470919,1.4054054054054,0,0,0,0,0,0,0,0
2,3,1.61814542597921,1.09803921568627,0,0,0,0,0,0,0,0
2,4,1.67037015341274,1.96428571428571,0,0,0,0,0,0,0,0
2,5,4.57150704452736,1,0,0,0,0,0,0,0,0
2,6,5.82080092049274,1.14285714285714,0,0,0,0,0,0,0,0
2,7,5.19211627726467,1.91071428571428,0,0,0,0,0,0,0,0
2,8,6.81787591209041,1.32142857142857,0,0,0,0,0,0,0,0
3,4,0.92995700443162,2.15686274509804,0,0,0,0,0,0,0,0
3,5,3.16960243508098,1.09803921568627,0,0,0,0,0,0,0,0
3,6,4.38073053268516,1.04081632653061,0,0,0,0,0,0,0,0
3,7,4.29506280429865,2.09803921568627,0,0,0,0,0,0,0,0
3,8,5.72478121852704,1.45098039215686,0,0,0,0,0,0,0,0
4,5,1.738972054424,1.96428571428571,0,0,0,0,0,0,0,0
4,6,2.43431976962631,2.24489795918368,0,0,0,0,0,0,0,0
4,7,2.69093647631073,1.02803738317757,0,0,0,0,0,0,0,0
4,8,3.43746885189531,1.48648648648649,0,0,0,0,0,0,0,0
5,6,0.958314847499909,1.14285714285715,0,0,0,0,0,0,0,0
5,7,2.17340759023161,1.91071428571428,0,0,0,0,0,0,0,0
5,8,2.92911320061411,1.32142857142857,0,0,0,0,0,0,0,0
6,7,1.78731237779849,2.18367346938776,0,0,0,0,0,0,0,0
6,8,2.37648826569053,1.51020408163266,0,0,0,0,0,0,0,0
7,8,0.419489486690127,1.44594594594594,0,0,0,0,0,0,0,0
