id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.87125563008801,1.06349206349206,0,0,0,0,0,0,0,0
1,3,2.33247714187019,1.48888888888889,0,0,0,0,0,0,0,0
1,4,2.88585142825442,1.31372549019608,0,0,0,0,0,0,0,0
1,5,3.96105443386636,1.45652173913043,0,0,0,0,0,0,0,0
1,6,4.32023864503564,1.3673469387755,0,0,0,0,0,0,0,0
1,7,5.2390162697113,1.42553191489361,0,0,0,0,0,0,0,0
1,8,5.64684031610206,1.26415094339623,0,0,0,0,0,0,0,0
1,9,7.01773432393407,1.55813953488372,0,0,0,0,0,0,0,0
1,10,7.19000660680818,1.36734693877551,0,0,0,0,0,0,0,0
1,11,8.05007571444298,1.55813953488372,0,0,0,0,0,0,0,0
2,3,0.585167604049073,1.4,0,0,0,0,0,0,0,0
2,4,0.853450620979318,1.23529411764706,0,0,0,0,0,0,0,0
2,5,1.89963649236664,1.36956521739131,0,0,0,0,0,0,0,0
2,6,2.3112758756733,1.28571428571428,0,0,0,0,0,0,0,0
2,7,3.24146686517331,1.34042553191489,0,0,0,0,0,0,0,0
2,8,3.77118471120687,1.18867924528302,0,0,0,0,0,0,0,0
2,9,5.02206771313804,1.46511627906977,0,0,0,0,0,0,0,0
2,10,5.30754570909018,1.28571428571429,0,0,0,0,0,0,0,0
2,11,6.12875091300413,1.46511627906977,0,0,0,0,0,0,0,0
3,4,1.12981223857969,1.13333333333333,0,0,0,0,0,0,0,0
3,5,2.41528362236242,1.02222222222222,0,0,0,0,0,0,0,0
3,6,2.8079464294653,1.0888888888889,0,0,0,0,0,0,0,0
3,7,3.95165132623803,1.04444444444445,0,0,0,0,0,0,0,0
3,8,4.5314969718991,1.17777777777778,0,0,0,0,0,0,0,0
3,9,6.12272263278492,1.04651162790698,0,0,0,0,0,0,0,0
3,10,6.38653269853537,1.08888888888889,0,0,0,0,0,0,0,0
3,11,7.50499145197482,1.04651162790698,0,0,0,0,0,0,0,0
4,5,1.16636170092626,1.10869565217391,0,0,0,0,0,0,0,0
4,6,1.62308348522188,1.04081632653061,0,0,0,0,0,0,0,0
4,7,2.66328485409981,1.08510638297872,0,0,0,0,0,0,0,0
4,8,3.28847559601134,1.03921568627451,0,0,0,0,0,0,0,0
4,9,4.64898485781994,1.18604651162791,0,0,0,0,0,0,0,0
4,10,4.99004007999936,1.04081632653061,0,0,0,0,0,0,0,0
4,11,5.91757171883306,1.18604651162791,0,0,0,0,0,0,0,0
5,6,0.59322117067812,1.06521739130435,0,0,0,0,0,0,0,0
5,7,1.61024871165929,1.02173913043478,0,0,0,0,0,0,0,0
5,8,2.32816779224568,1.15217391304348,0,0,0,0,0,0,0,0
5,9,3.65507189557166,1.06976744186047,0,0,0,0,0,0,0,0
5,10,4.0780881947427,1.06521739130435,0,0,0,0,0,0,0,0
5,11,4.98096363543574,1.06976744186047,0,0,0,0,0,0,0,0
6,7,1.03759621374491,1.04255319148936,0,0,0,0,0,0,0,0
6,8,1.76799801851248,1.08163265306122,0,0,0,0,0,0,0,0
6,9,2.99197493115464,1.13953488372094,0,0,0,0,0,0,0,0
6,10,3.43974430730325,1.00000000000001,0,0,0,0,0,0,0,0
6,11,4.31049188198403,1.13953488372094,0,0,0,0,0,0,0,0
7,8,0.81,1.12765957446808,0,0,0,0,0,0,0,0
7,9,1.95558712095737,1.09302325581396,0,0,0,0,0,0,0,0
7,10,2.47936361262545,1.04255319148936,0,0,0,0,0,0,0,0
7,11,3.30076683944732,1.09302325581396,0,0,0,0,0,0,0,0
8,9,0.989638156376136,1.23255813953489,0,0,0,0,0,0,0,0
8,10,1.53949666475008,1.08163265306123,0,0,0,0,0,0,0,0
8,11,2.2665527315115,1.23255813953489,0,0,0,0,0,0,0,0
9,10,0.675314111609091,1.13953488372093,0,0,0,0,0,0,0,0
9,11,1.470505040118,1,0,0,0,0,0,0,0,0
10,11,0.822719107398535,1.13953488372093,0,0,0,0,0,0,0,0
