id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.77136444737731,1.29268292682927,0,0,0,0,0,0,0,0
1,3,2.67779852022773,1.35897435897436,0,0,0,0,0,0,0,0
1,4,4.72367511329512,1.01923076923077,0,0,0,0,0,0,0,0
1,5,7.00892818913845,1.82758620689654,0,0,0,0,0,0,0,0
1,6,6.90664968163023,1.22641509433962,0,0,0,0,0,0,0,0
1,7,7.34073242524631,1.41509433962264,0,0,0,0,0,0,0,0
2,3,1.0125,1.05128205128205,0,0,0,0,0,0,0,0
2,4,3.5450130586287,1.26829268292683,0,0,0,0,0,0,0,0
2,5,5.87186303571566,1.41379310344827,0,0,0,0,0,0,0,0
2,6,6.21486206620533,1.58536585365854,0,0,0,0,0,0,0,0
2,7,6.7446250674765,1.82926829268292,0,0,0,0,0,0,0,0
3,4,2.77432811867726,1.33333333333334,0,0,0,0,0,0,0,0
3,5,4.85349818550272,1.34482758620689,0,0,0,0,0,0,0,0
3,6,5.5713831900963,1.66666666666667,0,0,0,0,0,0,0,0
3,7,6.16292841698023,1.92307692307692,0,0,0,0,0,0,0,0
4,5,1.6150205630242,1.79310344827586,0,0,0,0,0,0,0,0
4,6,3.3405794569489,1.25,0,0,0,0,0,0,0,0
4,7,3.95203431629211,1.44230769230769,0,0,0,0,0,0,0,0
5,6,2.81175264201409,2.24137931034482,0,0,0,0,0,0,0,0
5,7,3.66401671545372,2.58620689655171,0,0,0,0,0,0,0,0
6,7,0.893114248696374,1.15384615384615,0,0,0,0,0,0,0,0
