id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.46521982009662,1.3921568627451,0,0,0,0,0,0,0,0
1,3,2.84705219792321,1.07575757575757,0,0,0,0,0,0,0,0
1,4,2.97867979327168,1.16901408450704,0,0,0,0,0,0,0,0
1,5,3.69388503889077,1.1830985915493,0,0,0,0,0,0,0,0
1,6,4.8468752159595,1.16901408450704,0,0,0,0,0,0,0,0
1,7,5.89123007666043,1.12676056338028,0,0,0,0,0,0,0,0
1,8,3.67519564380102,1.04225352112676,0,0,0,0,0,0,0,0
1,9,4.54268339411732,1.01408450704225,0,0,0,0,0,0,0,0
2,3,1.83969271398926,1.29411764705883,0,0,0,0,0,0,0,0
2,4,2.09254849146417,1.62745098039216,0,0,0,0,0,0,0,0
2,5,2.91902608859504,1.64705882352941,0,0,0,0,0,0,0,0
2,6,4.24626865671642,1.62745098039216,0,0,0,0,0,0,0,0
2,7,5.43537717008321,1.56862745098039,0,0,0,0,0,0,0,0
2,8,2.8868363306568,1.45098039215686,0,0,0,0,0,0,0,0
2,9,3.86151475280525,1.41176470588235,0,0,0,0,0,0,0,0
3,4,0.754100840746449,1.25757575757575,0,0,0,0,0,0,0,0
3,5,1.26491106406735,1.27272727272727,0,0,0,0,0,0,0,0
3,6,2.39830315523565,1.25757575757575,0,0,0,0,0,0,0,0
3,7,3.42770412432223,1.21212121212121,0,0,0,0,0,0,0,0
3,8,1.04495874344885,1.12121212121212,0,0,0,0,0,0,0,0
3,9,1.88357017096574,1.09090909090909,0,0,0,0,0,0,0,0
4,5,0.748502994011976,1.01204819277109,0,0,0,0,0,0,0,0
4,6,1.82433669693954,1,0,0,0,0,0,0,0,0
4,7,2.71585883178299,1.0375,0,0,0,0,0,0,0,0
4,8,0.997318812204505,1.12162162162162,0,0,0,0,0,0,0,0
4,9,1.48933076898253,1.15277777777778,0,0,0,0,0,0,0,0
5,6,1.06810301955487,1.01204819277109,0,0,0,0,0,0,0,0
5,7,1.94974219989311,1.05,0,0,0,0,0,0,0,0
5,8,0.673448652568412,1.13513513513514,0,0,0,0,0,0,0,0
5,9,0.729897140448194,1.16666666666667,0,0,0,0,0,0,0,0
6,7,0.878351080732814,1.0375,0,0,0,0,0,0,0,0
6,8,1.44018077128599,1.12162162162162,0,0,0,0,0,0,0,0
6,9,0.713129434261696,1.15277777777778,0,0,0,0,0,0,0,0
7,8,2.37783838078923,1.08108108108108,0,0,0,0,0,0,0,0
7,9,1.62754169432276,1.11111111111111,0,0,0,0,0,0,0,0
8,9,0.816563610875551,1.02777777777778,0,0,0,0,0,0,0,0
