id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.32681348391663,1.46774193548387,0,0,0,0,0,0,0,0
1,3,3.00141170488525,1.06896551724138,0,0,0,0,0,0,0,0
1,4,4.03533147571622,1.33870967741935,0,0,0,0,0,0,0,0
1,5,5.6507823693615,1.30645161290322,0,0,0,0,0,0,0,0
2,3,1.06616394321131,1.56896551724137,0,0,0,0,0,0,0,0
2,4,2.19667321942153,1.09638554216867,0,0,0,0,0,0,0,0
2,5,3.51802320777269,1.12345679012346,0,0,0,0,0,0,0,0
3,4,1.60736509673362,1.43103448275862,0,0,0,0,0,0,0,0
3,5,3.23310665216828,1.39655172413793,0,0,0,0,0,0,0,0
4,5,1.35981078310685,1.02469135802469,0,0,0,0,0,0,0,0
