id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.16779320082573,1.10810810810811,0,0,0,0,0,0,0,0
1,3,1.98337031354231,2.7560975609756,0,0,0,0,0,0,0,0
1,4,5.45481030582781,1.8780487804878,0,0,0,0,0,0,0,0
1,5,5.06456667904148,2.60975609756097,0,0,0,0,0,0,0,0
1,6,3.33360871052039,1.29268292682927,0,0,0,0,0,0,0,0
1,7,3.64952284733669,1.80487804878049,0,0,0,0,0,0,0,0
1,8,5.68546985517014,1.07317073170731,0,0,0,0,0,0,0,0
1,9,7.12588810254553,1.05128205128206,0,0,0,0,0,0,0,0
2,3,1.56577279464309,3.05405405405405,0,0,0,0,0,0,0,0
2,4,4.87262344309725,2.08108108108108,0,0,0,0,0,0,0,0
2,5,4.59351247601266,2.89189189189189,0,0,0,0,0,0,0,0
2,6,2.47568421768185,1.43243243243243,0,0,0,0,0,0,0,0
2,7,2.98926738571294,2,0,0,0,0,0,0,0,0
2,8,4.84580089490499,1.18918918918919,0,0,0,0,0,0,0,0
2,9,6.30495232517382,1.05405405405405,0,0,0,0,0,0,0,0
3,4,1.95606167727875,1.46753246753247,0,0,0,0,0,0,0,0
3,5,2.15048043834453,1.05607476635514,0,0,0,0,0,0,0,0
3,6,0.908920166338227,2.13207547169811,0,0,0,0,0,0,0,0
3,7,0.901652487594067,1.52702702702703,0,0,0,0,0,0,0,0
3,8,1.66973766050932,2.56818181818182,0,0,0,0,0,0,0,0
3,9,2.24811401412353,2.8974358974359,0,0,0,0,0,0,0,0
4,5,0.576035682705917,1.38961038961039,0,0,0,0,0,0,0,0
4,6,2.58820721118834,1.45283018867925,0,0,0,0,0,0,0,0
4,7,1.48326630916568,1.04054054054054,0,0,0,0,0,0,0,0
4,8,1.51122205208374,1.75,0,0,0,0,0,0,0,0
4,9,1.11113299291441,1.97435897435898,0,0,0,0,0,0,0,0
5,6,2.76351791200998,2.0188679245283,0,0,0,0,0,0,0,0
5,7,1.82251786839114,1.44594594594594,0,0,0,0,0,0,0,0
5,8,1.88089963330086,2.43181818181818,0,0,0,0,0,0,0,0
5,9,1.47330343317069,2.74358974358975,0,0,0,0,0,0,0,0
6,7,0.932530824813571,1.39622641509434,0,0,0,0,0,0,0,0
6,8,1.75260764073225,1.20454545454546,0,0,0,0,0,0,0,0
6,9,2.79423944966773,1.35897435897436,0,0,0,0,0,0,0,0
7,8,0.810064882261378,1.68181818181819,0,0,0,0,0,0,0,0
7,9,1.53291605232089,1.8974358974359,0,0,0,0,0,0,0,0
8,9,1.05158017947129,1.12820512820513,0,0,0,0,0,0,0,0
