id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.595837977628841,1.50943396226415,0,0,0,0,0,0,0,0
1,3,1.91318602816106,1.0375,0,0,0,0,0,0,0,0
1,4,4.72076158778976,1.0126582278481,0,0,0,0,0,0,0,0
1,5,5.77846300978583,1.06666666666667,0,0,0,0,0,0,0,0
1,6,6.39139135826667,1.2125,0,0,0,0,0,0,0,0
2,3,1.90714940634746,1.56603773584906,0,0,0,0,0,0,0,0
2,4,5.26559296165521,1.49056603773585,0,0,0,0,0,0,0,0
2,5,6.55525083246725,1.41509433962264,0,0,0,0,0,0,0,0
2,6,7.183369682816,1.83018867924528,0,0,0,0,0,0,0,0
3,4,2.70846303020325,1.05063291139241,0,0,0,0,0,0,0,0
3,5,3.69503189369204,1.10666666666667,0,0,0,0,0,0,0,0
3,6,4.55556910567091,1.16867469879518,0,0,0,0,0,0,0,0
4,5,0.944040615344742,1.05333333333333,0,0,0,0,0,0,0,0
4,6,2.17473400102326,1.22784810126583,0,0,0,0,0,0,0,0
5,6,1.40716892787007,1.29333333333333,0,0,0,0,0,0,0,0
