id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.34511788348693,1.58333333333333,0,0,0,0,0,0,0,0
1,3,3.223099222414,1.58333333333333,0,0,0,0,0,0,0,0
1,4,5.10891001471562,1.88888888888889,0,0,0,0,0,0,0,0
1,5,8.49232398424924,1.41666666666666,0,0,0,0,0,0,0,0
1,6,9.07446403611201,1.72222222222223,0,0,0,0,0,0,0,0
1,7,12.2909745567858,1.50000000000001,0,0,0,0,0,0,0,0
1,8,5.75021738719502,1.22222222222222,0,0,0,0,0,0,0,0
2,3,1.57274610697996,1,0,0,0,0,0,0,0,0
2,4,3.30938060669969,1.19298245614035,0,0,0,0,0,0,0,0
2,5,5.85372684448307,1.11764705882353,0,0,0,0,0,0,0,0
2,6,6.59907892561366,1.08771929824562,0,0,0,0,0,0,0,0
2,7,7.88829959738015,2.375,0,0,0,0,0,0,0,0
2,8,3.58641414712011,1.29545454545454,0,0,0,0,0,0,0,0
3,4,1.87700186467675,1.19298245614035,0,0,0,0,0,0,0,0
3,5,4.26201601607291,1.11764705882353,0,0,0,0,0,0,0,0
3,6,5.16609923587215,1.08771929824562,0,0,0,0,0,0,0,0
3,7,5.87605039950438,2.37500000000001,0,0,0,0,0,0,0,0
3,8,2.09379606517748,1.29545454545455,0,0,0,0,0,0,0,0
4,5,2.03640685984078,1.33333333333334,0,0,0,0,0,0,0,0
4,6,3.04104077481425,1.09677419354838,0,0,0,0,0,0,0,0
4,7,3.05218088070554,2.83333333333334,0,0,0,0,0,0,0,0
4,8,1.38378455471853,1.54545454545454,0,0,0,0,0,0,0,0
5,6,1.36939575482713,1.21568627450981,0,0,0,0,0,0,0,0
5,7,1.04,2.125,0,0,0,0,0,0,0,0
5,8,2.97477855969556,1.15909090909091,0,0,0,0,0,0,0,0
6,7,1.85700987286783,2.58333333333335,0,0,0,0,0,0,0,0
6,8,4.0551774587733,1.40909090909091,0,0,0,0,0,0,0,0
7,8,4.08635695317834,1.83333333333334,0,0,0,0,0,0,0,0
