id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.0242812113868,1.04918032786885,0,0,0,0,0,0,0,0
1,3,0.64295477604175,1.72972972972973,0,0,0,0,0,0,0,0
1,4,1.07517862250641,1.5609756097561,0,0,0,0,0,0,0,0
1,5,1.57824832395699,1.42222222222222,0,0,0,0,0,0,0,0
1,6,5.81412907290633,2.13333333333332,0,0,0,0,0,0,0,0
1,7,6.71831237127885,1.93939393939394,0,0,0,0,0,0,0,0
1,8,5.66175409556768,1.68421052631579,0,0,0,0,0,0,0,0
1,9,7.36028631818386,1.64102564102565,0,0,0,0,0,0,0,0
1,10,8.48656004449912,2,0,0,0,0,0,0,0,0
1,11,8.28187178185112,1.36170212765957,0,0,0,0,0,0,0,0
1,12,7.04459012292412,1.14285714285714,0,0,0,0,0,0,0,0
2,3,1.54893791452629,1.64864864864865,0,0,0,0,0,0,0,0
2,4,0.689488273432049,1.48780487804878,0,0,0,0,0,0,0,0
2,5,0.591337129970371,1.35555555555556,0,0,0,0,0,0,0,0
2,6,4.6062966517955,2.03333333333332,0,0,0,0,0,0,0,0
2,7,5.57447823614473,1.84848484848485,0,0,0,0,0,0,0,0
2,8,4.5403113438701,1.60526315789473,0,0,0,0,0,0,0,0
2,9,6.30146808291529,1.56410256410257,0,0,0,0,0,0,0,0
2,10,7.38387182895908,1.90625,0,0,0,0,0,0,0,0
2,11,7.32641485280052,1.29787234042553,0,0,0,0,0,0,0,0
2,12,6.13709138885619,1.08928571428571,0,0,0,0,0,0,0,0
3,4,1.33333333333333,1.10810810810811,0,0,0,0,0,0,0,0
3,5,2.1247878432778,1.21621621621622,0,0,0,0,0,0,0,0
3,6,8.26871059845581,1.23333333333333,0,0,0,0,0,0,0,0
3,7,9.42884198746005,1.12121212121212,0,0,0,0,0,0,0,0
3,8,7.85811965068262,1.02702702702703,0,0,0,0,0,0,0,0
3,9,10.1097937349325,1.05405405405405,0,0,0,0,0,0,0,0
3,10,11.9644242659278,1.15625,0,0,0,0,0,0,0,0
3,11,11.0821824373043,1.27027027027027,0,0,0,0,0,0,0,0
3,12,9.28378030298385,1.51351351351351,0,0,0,0,0,0,0,0
4,5,0.820653487841576,1.09756097560976,0,0,0,0,0,0,0,0
4,6,6.33809076651403,1.36666666666666,0,0,0,0,0,0,0,0
4,7,7.51381731837667,1.24242424242424,0,0,0,0,0,0,0,0
4,8,6.14746936442994,1.07894736842105,0,0,0,0,0,0,0,0
4,9,8.30497779948871,1.05128205128206,0,0,0,0,0,0,0,0
4,10,9.88525840057241,1.28125,0,0,0,0,0,0,0,0
4,11,9.39791964186975,1.14634146341464,0,0,0,0,0,0,0,0
4,12,7.84202755096584,1.36585365853659,0,0,0,0,0,0,0,0
5,6,5.06752624287454,1.49999999999999,0,0,0,0,0,0,0,0
5,7,6.23098026444349,1.36363636363636,0,0,0,0,0,0,0,0
5,8,5.00191573112487,1.18421052631579,0,0,0,0,0,0,0,0
5,9,7.07339238403994,1.15384615384616,0,0,0,0,0,0,0,0
5,10,8.45894313778409,1.40625,0,0,0,0,0,0,0,0
5,11,8.22474940867736,1.04444444444445,0,0,0,0,0,0,0,0
5,12,6.83329009656185,1.24444444444445,0,0,0,0,0,0,0,0
6,7,1.68321340210232,1.1,0,0,0,0,0,0,0,0
6,8,0.749855810822464,1.26666666666666,0,0,0,0,0,0,0,0
6,9,3.11634645167852,1.29999999999999,0,0,0,0,0,0,0,0
6,10,4.39423636316943,1.06666666666666,0,0,0,0,0,0,0,0
6,11,4.90931422566341,1.56666666666666,0,0,0,0,0,0,0,0
6,12,3.77906976744185,1.86666666666666,0,0,0,0,0,0,0,0
7,8,1.12755253857045,1.15151515151515,0,0,0,0,0,0,0,0
7,9,1.52069063257456,1.18181818181818,0,0,0,0,0,0,0,0
7,10,2.56743373358133,1.03125,0,0,0,0,0,0,0,0
7,11,3.40486783884484,1.42424242424242,0,0,0,0,0,0,0,0
7,12,2.574971058091,1.6969696969697,0,0,0,0,0,0,0,0
8,9,2.34806487756468,1.02631578947368,0,0,0,0,0,0,0,0
8,10,3.38872680925375,1.1875,0,0,0,0,0,0,0,0
8,11,4.02354661159034,1.23684210526316,0,0,0,0,0,0,0,0
8,12,2.9772982913099,1.47368421052631,0,0,0,0,0,0,0,0
9,10,0.808848113541481,1.21875,0,0,0,0,0,0,0,0
9,11,1.89531316844737,1.20512820512821,0,0,0,0,0,0,0,0
9,12,1.42054571855473,1.43589743589744,0,0,0,0,0,0,0,0
10,11,1.33638757166776,1.46875,0,0,0,0,0,0,0,0
10,12,1.15048049609753,1.75,0,0,0,0,0,0,0,0
11,12,1.11426537750707,1.19148936170213,0,0,0,0,0,0,0,0
