id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.22559089853581,1.23529411764706,0,0,0,0,0,0,0,0
1,3,3.09972441016794,1.07692307692308,0,0,0,0,0,0,0,0
1,4,2.41137065112801,1.80952380952381,0,0,0,0,0,0,0,0
1,5,3.56248784309976,1.04761904761905,0,0,0,0,0,0,0,0
1,6,4.23321833156904,1.33333333333333,0,0,0,0,0,0,0,0
1,7,6.6584021751939,1.16666666666666,0,0,0,0,0,0,0,0
1,8,7.04837133921667,1.13513513513513,0,0,0,0,0,0,0,0
1,9,7.19086309915065,1.02380952380952,0,0,0,0,0,0,0,0
1,10,7.90865439910179,1.26190476190476,0,0,0,0,0,0,0,0
1,11,6.28106466742711,1.61538461538461,0,0,0,0,0,0,0,0
2,3,1.39174306927548,1.14705882352941,0,0,0,0,0,0,0,0
2,4,1.08825434557421,2.23529411764706,0,0,0,0,0,0,0,0
2,5,1.88862298472597,1.29411764705882,0,0,0,0,0,0,0,0
2,6,2.86548209806325,1.64705882352941,0,0,0,0,0,0,0,0
2,7,5.46976849116474,1.05882352941177,0,0,0,0,0,0,0,0
2,8,5.89062512743644,1.08823529411765,0,0,0,0,0,0,0,0
2,9,6.16132147137045,1.26470588235294,0,0,0,0,0,0,0,0
2,10,7.19309757073923,1.55882352941176,0,0,0,0,0,0,0,0
2,11,4.86840722299283,1.3076923076923,0,0,0,0,0,0,0,0
3,4,1.05055570855923,1.94871794871795,0,0,0,0,0,0,0,0
3,5,0.692640113339991,1.12820512820513,0,0,0,0,0,0,0,0
3,6,1.72403572149044,1.43589743589743,0,0,0,0,0,0,0,0
3,7,3.75200094764261,1.08333333333333,0,0,0,0,0,0,0,0
3,8,4.17123941139163,1.05405405405405,0,0,0,0,0,0,0,0
3,9,4.55010443036049,1.1025641025641,0,0,0,0,0,0,0,0
3,10,5.69835855050666,1.35897435897436,0,0,0,0,0,0,0,0
3,11,2.93104178017983,1.5,0,0,0,0,0,0,0,0
4,5,0.949597868105817,1.72727272727273,0,0,0,0,0,0,0,0
4,6,1.50894562401535,1.35714285714286,0,0,0,0,0,0,0,0
4,7,3.0888469960984,2.1111111111111,0,0,0,0,0,0,0,0
4,8,3.32463165776317,2.05405405405405,0,0,0,0,0,0,0,0
4,9,3.62123452063359,1.76744186046511,0,0,0,0,0,0,0,0
4,10,4.57183645819103,1.43396226415094,0,0,0,0,0,0,0,0
4,11,2.62124303197543,2.92307692307691,0,0,0,0,0,0,0,0
5,6,1.10634533487515,1.27272727272727,0,0,0,0,0,0,0,0
5,7,3.03296987291334,1.22222222222222,0,0,0,0,0,0,0,0
5,8,3.40635607327125,1.18918918918919,0,0,0,0,0,0,0,0
5,9,3.81839357262869,1.02325581395349,0,0,0,0,0,0,0,0
5,10,5.02883596868251,1.20454545454545,0,0,0,0,0,0,0,0
5,11,2.24726591253297,1.69230769230769,0,0,0,0,0,0,0,0
6,7,1.62742475775533,1.55555555555555,0,0,0,0,0,0,0,0
6,8,1.90298279233418,1.51351351351351,0,0,0,0,0,0,0,0
6,9,2.34162678460243,1.30232558139534,0,0,0,0,0,0,0,0
6,10,3.58754309368352,1.0566037735849,0,0,0,0,0,0,0,0
6,11,1.13053450583676,2.15384615384614,0,0,0,0,0,0,0,0
7,8,0.519826464685213,1.02777777777778,0,0,0,0,0,0,0,0
7,9,1.16703094396112,1.19444444444444,0,0,0,0,0,0,0,0
7,10,2.75510108657061,1.47222222222221,0,0,0,0,0,0,0,0
7,11,1.4909543417273,1.38461538461539,0,0,0,0,0,0,0,0
8,9,0.704006392016433,1.16216216216216,0,0,0,0,0,0,0,0
8,10,2.37904950415284,1.43243243243243,0,0,0,0,0,0,0,0
8,11,2.05890821763061,1.42307692307692,0,0,0,0,0,0,0,0
9,10,1.6647449858929,1.23255813953488,0,0,0,0,0,0,0,0
9,11,2.67551305179345,1.65384615384615,0,0,0,0,0,0,0,0
10,11,4.22489095399459,2.03846153846153,0,0,0,0,0,0,0,0
