id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.46040911548117,1.04878048780488,0,0,0,0,0,0,0,0
1,3,1.86893970897746,1.11627906976744,0,0,0,0,0,0,0,0
1,4,2.46671547532348,1.30232558139535,0,0,0,0,0,0,0,0
1,5,2.96041437208338,1.41860465116278,0,0,0,0,0,0,0,0
1,6,3.59322493480421,1.51162790697673,0,0,0,0,0,0,0,0
2,3,0.555015237538359,1.17073170731707,0,0,0,0,0,0,0,0
2,4,1.33643402527838,1.36585365853659,0,0,0,0,0,0,0,0
2,5,1.92129349771046,1.48780487804878,0,0,0,0,0,0,0,0
2,6,2.61662809987005,1.58536585365853,0,0,0,0,0,0,0,0
3,4,0.782635605581717,1.16666666666667,0,0,0,0,0,0,0,0
3,5,1.35658884901703,1.27083333333333,0,0,0,0,0,0,0,0
3,6,2.02749523822599,1.35416666666666,0,0,0,0,0,0,0,0
4,5,0.568231457729731,1.08928571428571,0,0,0,0,0,0,0,0
4,6,1.22149207661982,1.16071428571428,0,0,0,0,0,0,0,0
5,6,0.645984944289672,1.0655737704918,0,0,0,0,0,0,0,0
