id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.29609374543496,1.72413793103448,0,0,0,0,0,0,0,0
1,3,3.23387111979758,1.6896551724138,0,0,0,0,0,0,0,0
1,4,3.65743892691761,1.11538461538462,0,0,0,0,0,0,0,0
1,5,7.03083655917938,1.24137931034483,0,0,0,0,0,0,0,0
1,6,7.72011228286597,1.3103448275862,0,0,0,0,0,0,0,0
1,7,17.7582014575875,1.11538461538462,0,0,0,0,0,0,0,0
1,8,15.0234741329347,1.27586206896551,0,0,0,0,0,0,0,0
1,9,15.8537994998007,1.24137931034483,0,0,0,0,0,0,0,0
1,10,22.103619613086,1.38095238095238,0,0,0,0,0,0,0,0
1,11,19.5130757801137,1.03448275862068,0,0,0,0,0,0,0,0
1,12,21.5520675827244,2.07142857142859,0,0,0,0,0,0,0,0
1,13,9.16582169445781,1.70588235294118,0,0,0,0,0,0,0,0
2,3,1.52555351903326,1.0204081632653,0,0,0,0,0,0,0,0
2,4,1.34165369080057,1.92307692307692,0,0,0,0,0,0,0,0
2,5,4.15767192105592,1.38888888888889,0,0,0,0,0,0,0,0
2,6,4.73912685492882,1.31578947368421,0,0,0,0,0,0,0,0
2,7,11.5524292633046,1.92307692307692,0,0,0,0,0,0,0,0
2,8,10.2421597545685,1.35135135135135,0,0,0,0,0,0,0,0
2,9,10.814578626592,1.38888888888889,0,0,0,0,0,0,0,0
2,10,14.1549576063068,2.38095238095238,0,0,0,0,0,0,0,0
2,11,13.1375535203477,1.66666666666667,0,0,0,0,0,0,0,0
2,12,12.939132218898,3.57142857142859,0,0,0,0,0,0,0,0
2,13,4.83789341989454,2.94117647058823,0,0,0,0,0,0,0,0
3,4,0.704146449413913,1.88461538461539,0,0,0,0,0,0,0,0
3,5,2.43858828070016,1.36111111111111,0,0,0,0,0,0,0,0
3,6,3.05922082861204,1.28947368421053,0,0,0,0,0,0,0,0
3,7,9.7019494031984,1.88461538461539,0,0,0,0,0,0,0,0
3,8,8.6051539765095,1.32432432432433,0,0,0,0,0,0,0,0
3,9,9.16507588168012,1.36111111111111,0,0,0,0,0,0,0,0
