id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.29031319458758,1.1,0,0,0,0,0,0,0,0
1,3,1.77132718603876,1.27272727272727,0,0,0,0,0,0,0,0
1,4,5.4640937034425,1.27272727272727,0,0,0,0,0,0,0,0
1,5,5.83437240736948,1.11428571428571,0,0,0,0,0,0,0,0
1,6,7.04818580039736,1.16666666666667,0,0,0,0,0,0,0,0
2,3,0.389396887148376,1.4,0,0,0,0,0,0,0,0
2,4,3.74549009495731,1.4,0,0,0,0,0,0,0,0
2,5,4.34919586620588,1.01298701298701,0,0,0,0,0,0,0,0
2,6,5.30675006469442,1.28333333333333,0,0,0,0,0,0,0,0
3,4,4.21341815655454,1,0,0,0,0,0,0,0,0
3,5,4.85160535385786,1.41818181818182,0,0,0,0,0,0,0,0
3,6,6.0659575674274,1.09090909090909,0,0,0,0,0,0,0,0
4,5,1.37593984962406,1.41818181818182,0,0,0,0,0,0,0,0
4,6,2.03866222491534,1.09090909090909,0,0,0,0,0,0,0,0
5,6,0.387393229119527,1.3,0,0,0,0,0,0,0,0
