id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.641753903425882,1.70967741935484,0,0,0,0,0,0,0,0
1,3,1.60388558806164,1.25806451612903,0,0,0,0,0,0,0,0
1,4,2.90461701434112,1.41935483870968,0,0,0,0,0,0,0,0
1,5,4.56972259663498,1.29032258064516,0,0,0,0,0,0,0,0
1,6,8.43879347383959,1.19354838709677,0,0,0,0,0,0,0,0
2,3,0.772962899893956,1.35897435897436,0,0,0,0,0,0,0,0
2,4,2.14227201015676,1.20454545454545,0,0,0,0,0,0,0,0
2,5,3.31381730504701,1.325,0,0,0,0,0,0,0,0
2,6,5.97881031974641,1.43243243243244,0,0,0,0,0,0,0,0
3,4,1.85346477932508,1.12820512820513,0,0,0,0,0,0,0,0
3,5,3.10384805955423,1.02564102564102,0,0,0,0,0,0,0,0
3,6,6.14524397772019,1.05405405405406,0,0,0,0,0,0,0,0
4,5,1.2917078115018,1.1,0,0,0,0,0,0,0,0
4,6,4.80703708618258,1.1891891891892,0,0,0,0,0,0,0,0
5,6,3.85068767638228,1.08108108108108,0,0,0,0,0,0,0,0
