id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.06675616613345,1.42,0,0,0,0,0,0,0,0
1,3,3.46636182660749,1.77499999999999,0,0,0,0,0,0,0,0
1,4,4.85044576522805,1.775,0,0,0,0,0,0,0,0
1,5,5.68431124947018,1.33962264150943,0,0,0,0,0,0,0,0
1,6,4.85947592982615,1.01428571428571,0,0,0,0,0,0,0,0
1,7,5.4724715954236,1.16393442622951,0,0,0,0,0,0,0,0
1,8,3.27015435401065,1.59154929577465,0,0,0,0,0,0,0,0
1,9,0.860317272851331,1.22535211267606,0,0,0,0,0,0,0,0
1,10,10.4097210497441,7.09999999999997,0,0,0,0,0,0,0,0
1,11,4.77271704350003,3.38095238095238,0,0,0,0,0,0,0,0
1,12,5.61905588553955,3.08695652173912,0,0,0,0,0,0,0,0
1,13,8.31189966284639,5.91666666666673,0,0,0,0,0,0,0,0
1,14,5.79920221663101,4.73333333333331,0,0,0,0,0,0,0,0
1,15,4.62191384763141,4.73333333333333,0,0,0,0,0,0,0,0
1,16,4.84015785152527,5.07142857142858,0,0,0,0,0,0,0,0
1,17,3.21871688849835,5.07142857142856,0,0,0,0,0,0,0,0
1,18,3.82503107563256,4.43750000000002,0,0,0,0,0,0,0,0
1,19,4.69417158579222,6.45454545454548,0,0,0,0,0,0,0,0
1,20,2.96845712666305,3.55,0,0,0,0,0,0,0,0
2,3,3.35640165933182,1.25,0,0,0,0,0,0,0,0
2,4,5.1838900498933,1.25,0,0,0,0,0,0,0,0
2,5,6.23471077413987,1.06,0,0,0,0,0,0,0,0
2,6,5.28515347196486,1.4,0,0,0,0,0,0,0,0
2,7,6.11551810755933,1.22,0,0,0,0,0,0,0,0
2,8,3.59663067222709,2.26,0,0,0,0,0,0,0,0
2,9,1.35923306265744,1.74,0,0,0,0,0,0,0,0
2,10,12.5333776594961,4.99999999999998,0,0,0,0,0,0,0,0
2,11,4.86070601902361,2.38095238095238,0,0,0,0,0,0,0,0
2,12,6.02068430658921,2.17391304347826,0,0,0,0,0,0,0,0
2,13,9.48697008832726,4.16666666666672,0,0,0,0,0,0,0,0
2,14,5.85424541244321,3.33333333333332,0,0,0,0,0,0,0,0
