id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.87653856403488,1.43137254901961,0,0,0,0,0,0,0,0
1,3,2.86354568748623,1.02816901408451,0,0,0,0,0,0,0,0
1,4,5.46976019986169,2.28124999999999,0,0,0,0,0,0,0,0
1,5,6.21006061367958,2.14705882352941,0,0,0,0,0,0,0,0
1,6,7.17799929683087,2.21212121212121,0,0,0,0,0,0,0,0
1,7,8.80945235815836,3.8421052631579,0,0,0,0,0,0,0,0
2,3,1.58644147703737,1.3921568627451,0,0,0,0,0,0,0,0
2,4,4.15304542787904,1.59375,0,0,0,0,0,0,0,0
2,5,5.13205544393129,1.5,0,0,0,0,0,0,0,0
2,6,6.35724317737858,1.54545454545455,0,0,0,0,0,0,0,0
2,7,8.3202237018592,2.6842105263158,0,0,0,0,0,0,0,0
3,4,1.65219785523749,2.21874999999999,0,0,0,0,0,0,0,0
3,5,2.43004623753403,2.08823529411765,0,0,0,0,0,0,0,0
3,6,3.36011950777184,2.15151515151515,0,0,0,0,0,0,0,0
3,7,4.44249957446659,3.73684210526316,0,0,0,0,0,0,0,0
4,5,1.39919956128669,1.0625,0,0,0,0,0,0,0,0
4,6,2.93765595078918,1.03125,0,0,0,0,0,0,0,0
4,7,4.66666666666667,1.6842105263158,0,0,0,0,0,0,0,0
5,6,1.47187185994896,1.03030303030303,0,0,0,0,0,0,0,0
5,7,2.75884931719763,1.78947368421053,0,0,0,0,0,0,0,0
6,7,0.99276226916464,1.73684210526316,0,0,0,0,0,0,0,0
