id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.51059673540868,1.37704918032787,0,0,0,0,0,0,0,0
1,3,3.01654927281258,1.19607843137255,0,0,0,0,0,0,0,0
1,4,6.30889208793134,1.22950819672131,0,0,0,0,0,0,0,0
1,5,6.69420748058376,1.37704918032786,0,0,0,0,0,0,0,0
2,3,0.886540106689019,1.64705882352941,0,0,0,0,0,0,0,0
2,4,4.0188679245283,1.12,0,0,0,0,0,0,0,0
2,5,4.49913382946313,1,0,0,0,0,0,0,0,0
3,4,4.13796615747193,1.47058823529412,0,0,0,0,0,0,0,0
3,5,4.7842907087398,1.64705882352941,0,0,0,0,0,0,0,0
4,5,1.15827475642705,1.12,0,0,0,0,0,0,0,0
