id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.18747370651854,1.23076923076923,0,0,0,0,0,0,0,0
1,3,1.93384412154128,1.14285714285714,0,0,0,0,0,0,0,0
1,4,2.92635666435794,1.09090909090909,0,0,0,0,0,0,0,0
1,5,4.77929206609737,1.1875,0,0,0,0,0,0,0,0
1,6,7.54464159092645,1.2,0,0,0,0,0,0,0,0
1,7,9.27534666095105,1.10416666666667,0,0,0,0,0,0,0,0
1,8,12.3747374337759,1.26315789473684,0,0,0,0,0,0,0,0
2,3,0.877933170249928,1.07692307692308,0,0,0,0,0,0,0,0
2,4,2.00032658097158,1.12820512820513,0,0,0,0,0,0,0,0
2,5,4.30806938263018,1.46153846153846,0,0,0,0,0,0,0,0
2,6,7.1509465032039,1.02564102564102,0,0,0,0,0,0,0,0
2,7,9.0839005678954,1.35897435897436,0,0,0,0,0,0,0,0
2,8,12.4818437882736,1.02631578947368,0,0,0,0,0,0,0,0
3,4,1.10764587945208,1.04761904761905,0,0,0,0,0,0,0,0
3,5,3.68038727373146,1.35714285714286,0,0,0,0,0,0,0,0
3,6,6.11948497597696,1.05,0,0,0,0,0,0,0,0
3,7,8.09900647099227,1.26190476190476,0,0,0,0,0,0,0,0
3,8,11.1272750482766,1.10526315789473,0,0,0,0,0,0,0,0
4,5,2.98341985643993,1.29545454545455,0,0,0,0,0,0,0,0
4,6,4.93875472016389,1.1,0,0,0,0,0,0,0,0
4,7,6.98641318406278,1.20454545454545,0,0,0,0,0,0,0,0
4,8,9.69604996325546,1.1578947368421,0,0,0,0,0,0,0,0
5,6,2.13578790310574,1.425,0,0,0,0,0,0,0,0
5,7,4.35728704737514,1.07547169811321,0,0,0,0,0,0,0,0
5,8,7.23476525222813,1.49999999999999,0,0,0,0,0,0,0,0
6,7,2.99477326318827,1.325,0,0,0,0,0,0,0,0
6,8,6.19543903414217,1.05263157894736,0,0,0,0,0,0,0,0
7,8,3.10047890625533,1.39473684210526,0,0,0,0,0,0,0,0
