id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.90375460294317,1.56410256410256,0,0,0,0,0,0,0,0
1,3,4.56388297152521,1.03389830508475,0,0,0,0,0,0,0,0
1,4,7.4950247497615,1.90625,0,0,0,0,0,0,0,0
1,5,8.02568846562226,1.74285714285715,0,0,0,0,0,0,0,0
1,6,10.8406895484845,2.65217391304346,0,0,0,0,0,0,0,0
1,7,9.72875103461793,1.48780487804878,0,0,0,0,0,0,0,0
1,8,3.77025921796328,4.06666666666666,0,0,0,0,0,0,0,0
2,3,1.63064289516799,1.51282051282051,0,0,0,0,0,0,0,0
2,4,4.32098352591443,1.21875,0,0,0,0,0,0,0,0
2,5,5.13764163578912,1.11428571428572,0,0,0,0,0,0,0,0
2,6,8.39757410091965,1.69565217391303,0,0,0,0,0,0,0,0
2,7,7.5314859921532,1.05128205128205,0,0,0,0,0,0,0,0
2,8,2.16753702050363,2.6,0,0,0,0,0,0,0,0
3,4,1.66848510065127,1.84375,0,0,0,0,0,0,0,0
3,5,2.3910388005945,1.68571428571429,0,0,0,0,0,0,0,0
3,6,4.43213415934408,2.56521739130433,0,0,0,0,0,0,0,0
3,7,4.44893245621913,1.4390243902439,0,0,0,0,0,0,0,0
3,8,3.72397225025536,3.93333333333332,0,0,0,0,0,0,0,0
4,5,1.09607534135744,1.09375,0,0,0,0,0,0,0,0
4,6,3.89158872568996,1.39130434782608,0,0,0,0,0,0,0,0
4,7,4.05500277140155,1.28125,0,0,0,0,0,0,0,0
4,8,8.89728113464748,2.13333333333333,0,0,0,0,0,0,0,0
5,6,2.43201252030696,1.52173913043477,0,0,0,0,0,0,0,0
5,7,2.93494798379632,1.17142857142857,0,0,0,0,0,0,0,0
5,8,9.82032586017389,2.33333333333332,0,0,0,0,0,0,0,0
6,7,1.28134527084818,1.78260869565216,0,0,0,0,0,0,0,0
6,8,16.6329113390346,1.53333333333334,0,0,0,0,0,0,0,0
7,8,12.7510128649309,2.73333333333332,0,0,0,0,0,0,0,0
