id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.711688133946323,1.04081632653061,0,0,0,0,0,0,0,0
1,3,1.24220310852921,1.11363636363636,0,0,0,0,0,0,0,0
1,4,3.00117891064479,1.18367346938775,0,0,0,0,0,0,0,0
1,5,3.78497464428115,1.24489795918368,0,0,0,0,0,0,0,0
1,6,2.46536212665799,1.02083333333333,0,0,0,0,0,0,0,0
1,7,2.05314059058853,1.04255319148936,0,0,0,0,0,0,0,0
1,8,10.1600158229207,1.28947368421053,0,0,0,0,0,0,0,0
1,9,12.7005510509411,2.04166666666666,0,0,0,0,0,0,0,0
1,10,5.64440194014564,2.45,0,0,0,0,0,0,0,0
1,11,5.50379742867976,1.74999999999999,0,0,0,0,0,0,0,0
1,12,3.12088731640913,1.4,0,0,0,0,0,0,0,0
2,3,0.598520798982295,1.15909090909091,0,0,0,0,0,0,0,0
2,4,2.33736190357718,1.13725490196078,0,0,0,0,0,0,0,0
2,5,3.12561218493469,1.19607843137255,0,0,0,0,0,0,0,0
2,6,2.9989114781994,1.0625,0,0,0,0,0,0,0,0
2,7,2.44600159071036,1.08510638297872,0,0,0,0,0,0,0,0
2,8,9.2739179883254,1.3421052631579,0,0,0,0,0,0,0,0
2,9,11.5708292221815,2.125,0,0,0,0,0,0,0,0
2,10,4.76100089663824,2.55000000000001,0,0,0,0,0,0,0,0
2,11,4.65260048095459,1.82142857142856,0,0,0,0,0,0,0,0
2,12,2.28262655538453,1.45714285714286,0,0,0,0,0,0,0,0
3,4,2.01970302459892,1.31818181818181,0,0,0,0,0,0,0,0
3,5,2.86723614024032,1.38636363636364,0,0,0,0,0,0,0,0
3,6,3.35955736800024,1.09090909090909,0,0,0,0,0,0,0,0
3,7,2.62701725526526,1.06818181818182,0,0,0,0,0,0,0,0
3,8,9.39880034619581,1.15789473684211,0,0,0,0,0,0,0,0
3,9,11.9630432212789,1.83333333333333,0,0,0,0,0,0,0,0
3,10,4.39548774312931,2.20000000000001,0,0,0,0,0,0,0,0
3,11,4.3303497563529,1.57142857142856,0,0,0,0,0,0,0,0
3,12,1.86093170648881,1.25714285714286,0,0,0,0,0,0,0,0
4,5,0.801144933123705,1.05172413793104,0,0,0,0,0,0,0,0
4,6,4.61059269180657,1.20833333333333,0,0,0,0,0,0,0,0
4,7,3.8589296273035,1.23404255319149,0,0,0,0,0,0,0,0
4,8,6.02865876978456,1.52631578947369,0,0,0,0,0,0,0,0
4,9,7.5547279459094,2.41666666666665,0,0,0,0,0,0,0,0
4,10,1.88457177692441,2.9,0,0,0,0,0,0,0,0
4,11,1.68704861959848,2.07142857142855,0,0,0,0,0,0,0,0
4,12,0.634408602150537,1.65714285714285,0,0,0,0,0,0,0,0
5,6,5.27152642274399,1.27083333333334,0,0,0,0,0,0,0,0
5,7,4.52579862826373,1.29787234042554,0,0,0,0,0,0,0,0
5,8,4.94774242318814,1.60526315789475,0,0,0,0,0,0,0,0
5,9,6.22603085501608,2.54166666666667,0,0,0,0,0,0,0,0
5,10,1.79776996103502,3.05000000000002,0,0,0,0,0,0,0,0
5,11,1.25445802691651,2.17857142857142,0,0,0,0,0,0,0,0
5,12,1.60632971051677,1.74285714285714,0,0,0,0,0,0,0,0
6,7,0.931147684892324,1.02127659574468,0,0,0,0,0,0,0,0
6,8,11.3719800726783,1.26315789473685,0,0,0,0,0,0,0,0
6,9,14.2191904863259,1.99999999999999,0,0,0,0,0,0,0,0
6,10,7.20092866944412,2.4,0,0,0,0,0,0,0,0
6,11,7.06739421157672,1.7142857142857,0,0,0,0,0,0,0,0
6,12,5.24268078787166,1.37142857142857,0,0,0,0,0,0,0,0
7,8,10.477393690547,1.23684210526316,0,0,0,0,0,0,0,0
7,9,13.1870855894689,1.95833333333333,0,0,0,0,0,0,0,0
7,10,5.98812592037909,2.35000000000001,0,0,0,0,0,0,0,0
7,11,5.98310213109478,1.67857142857142,0,0,0,0,0,0,0,0
7,12,4.31266138081855,1.34285714285714,0,0,0,0,0,0,0,0
8,9,0.744735250362273,1.58333333333332,0,0,0,0,0,0,0,0
8,10,8.60559022469345,1.9,0,0,0,0,0,0,0,0
8,11,6.97544229601084,1.35714285714284,0,0,0,0,0,0,0,0
8,12,8.67176306024852,1.08571428571428,0,0,0,0,0,0,0,0
9,10,12.356134923508,1.20000000000001,0,0,0,0,0,0,0,0
9,11,9.69347138923738,1.16666666666667,0,0,0,0,0,0,0,0
9,12,11.4325520420255,1.45833333333333,0,0,0,0,0,0,0,0
10,11,1.05285656404111,1.40000000000001,0,0,0,0,0,0,0,0
10,12,3.12669127786986,1.75000000000001,0,0,0,0,0,0,0,0
11,12,2.94079481169029,1.24999999999999,0,0,0,0,0,0,0,0
