id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.15620239737817,1.04347826086957,0,0,0,0,0,0,0,0
1,3,0.582102203402984,1.39130434782609,0,0,0,0,0,0,0,0
1,4,1.72794245389335,1.39130434782609,0,0,0,0,0,0,0,0
1,5,2.42137440653454,2.30434782608696,0,0,0,0,0,0,0,0
1,6,5.04200935268537,1.30434782608696,0,0,0,0,0,0,0,0
1,7,5.54988726905978,1.69565217391304,0,0,0,0,0,0,0,0
1,8,5.05100993941229,2.60869565217393,0,0,0,0,0,0,0,0
1,9,7.07144217408922,2.82608695652174,0,0,0,0,0,0,0,0
2,3,1.40016398456518,1.33333333333333,0,0,0,0,0,0,0,0
2,4,0.866945435281309,1.33333333333332,0,0,0,0,0,0,0,0
2,5,1.71241535118199,2.20833333333332,0,0,0,0,0,0,0,0
2,6,3.98578578704274,1.25,0,0,0,0,0,0,0,0
2,7,4.6299440558382,1.62499999999998,0,0,0,0,0,0,0,0
2,8,4.36812303698202,2.49999999999999,0,0,0,0,0,0,0,0
2,9,6.40871140487507,2.70833333333331,0,0,0,0,0,0,0,0
3,4,1.93377918934014,1,0,0,0,0,0,0,0,0
3,5,2.47366754877621,1.65625,0,0,0,0,0,0,0,0
3,6,4.73614414839548,1.06666666666666,0,0,0,0,0,0,0,0
3,7,5.21212402555488,1.21874999999999,0,0,0,0,0,0,0,0
3,8,4.84021629287521,1.875,0,0,0,0,0,0,0,0
3,9,6.68845767297291,2.03125,0,0,0,0,0,0,0,0
4,5,1.066702709887,1.65625000000001,0,0,0,0,0,0,0,0
4,6,2.79074209041117,1.06666666666666,0,0,0,0,0,0,0,0
4,7,3.5221406990843,1.21875,0,0,0,0,0,0,0,0
4,8,3.53260869565217,1.87500000000001,0,0,0,0,0,0,0,0
4,9,5.43959769507646,2.03125,0,0,0,0,0,0,0,0
5,6,1.0046343477799,1.76666666666666,0,0,0,0,0,0,0,0
5,7,1.73997941234588,1.35897435897437,0,0,0,0,0,0,0,0
5,8,2.08192306145078,1.13207547169812,0,0,0,0,0,0,0,0
5,9,3.71664037608536,1.22641509433962,0,0,0,0,0,0,0,0
6,7,1.11678868691643,1.29999999999999,0,0,0,0,0,0,0,0
6,8,1.68921780422876,2,0,0,0,0,0,0,0,0
6,9,3.73879859827308,2.16666666666666,0,0,0,0,0,0,0,0
7,8,0.759996133574818,1.53846153846155,0,0,0,0,0,0,0,0
7,9,2.68117547413014,1.66666666666667,0,0,0,0,0,0,0,0
8,9,1.62933115111692,1.08333333333333,0,0,0,0,0,0,0,0
