id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.46808510638298,1.04347826086957,0,0,0,0,0,0,0,0
1,3,2.54773030464674,1.33333333333334,0,0,0,0,0,0,0,0
1,4,8.3123737795674,1.2,0,0,0,0,0,0,0,0
1,5,9.2680274698792,1.04347826086957,0,0,0,0,0,0,0,0
2,3,0.927150137012109,1.27777777777777,0,0,0,0,0,0,0,0
2,4,6.95889188819024,1.15,0,0,0,0,0,0,0,0
2,5,8.00053164585063,1,0,0,0,0,0,0,0,0
3,4,6.93384848750285,1.11111111111111,0,0,0,0,0,0,0,0
3,5,8.08068326311646,1.27777777777777,0,0,0,0,0,0,0,0
4,5,1.70546159230689,1.15,0,0,0,0,0,0,0,0
