id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.15180651333813,1.11538461538462,0,0,0,0,0,0,0,0
1,3,4.6437429072091,1.13043478260869,0,0,0,0,0,0,0,0
1,4,10.3126435642831,1.36842105263158,0,0,0,0,0,0,0,0
1,5,9.92251797364619,1.04,0,0,0,0,0,0,0,0
1,6,13.2371553709536,1.52941176470588,0,0,0,0,0,0,0,0
1,7,10.1996717838502,1.61538461538462,0,0,0,0,0,0,0,0
1,8,11.6898726310595,1.53846153846154,0,0,0,0,0,0,0,0
1,9,12.2395662807764,1.73076923076923,0,0,0,0,0,0,0,0
2,3,1.22866406499717,1.26086956521739,0,0,0,0,0,0,0,0
2,4,6.42430551802206,1.52631578947368,0,0,0,0,0,0,0,0
2,5,6.46837298772786,1.16,0,0,0,0,0,0,0,0
2,6,8.97149444994568,1.70588235294118,0,0,0,0,0,0,0,0
2,7,7.33763617130366,1.44827586206897,0,0,0,0,0,0,0,0
2,8,8.68904338234254,1.37931034482759,0,0,0,0,0,0,0,0
2,9,9.43077697855718,1.55172413793103,0,0,0,0,0,0,0,0
3,4,5.82745087267746,1.21052631578947,0,0,0,0,0,0,0,0
3,5,5.95603831091699,1.08695652173913,0,0,0,0,0,0,0,0
3,6,8.73391378478169,1.35294117647059,0,0,0,0,0,0,0,0
3,7,7.19095421242597,1.82608695652174,0,0,0,0,0,0,0,0
3,8,8.64397576098012,1.73913043478261,0,0,0,0,0,0,0,0
3,9,9.43500118732606,1.95652173913043,0,0,0,0,0,0,0,0
4,5,0.954815978981815,1.31578947368421,0,0,0,0,0,0,0,0
4,6,2.92314096246139,1.11764705882353,0,0,0,0,0,0,0,0
4,7,4.59326593077046,2.21052631578947,0,0,0,0,0,0,0,0
4,8,5.81029705375858,2.10526315789474,0,0,0,0,0,0,0,0
4,9,6.69554495658307,2.36842105263157,0,0,0,0,0,0,0,0
5,6,1.51204536279118,1.47058823529412,0,0,0,0,0,0,0,0
5,7,3.73638465403573,1.68,0,0,0,0,0,0,0,0
5,8,4.73886112201315,1.6,0,0,0,0,0,0,0,0
5,9,5.57900583638778,1.79999999999999,0,0,0,0,0,0,0,0
6,7,3.75965672273349,2.47058823529412,0,0,0,0,0,0,0,0
6,8,4.68052946893533,2.35294117647059,0,0,0,0,0,0,0,0
6,9,5.49346883051897,2.6470588235294,0,0,0,0,0,0,0,0
7,8,0.988105946290469,1.05,0,0,0,0,0,0,0,0
7,9,2.09350075445526,1.07142857142857,0,0,0,0,0,0,0,0
8,9,1.18969043107831,1.125,0,0,0,0,0,0,0,0
