id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.798746594887645,1.2,0,0,0,0,0,0,0,0
1,3,2.41110868728613,1.36363636363636,0,0,0,0,0,0,0,0
1,4,6.49505926442141,1.25,0,0,0,0,0,0,0,0
1,5,7.34644170888861,1.02272727272727,0,0,0,0,0,0,0,0
2,3,1.26770718887009,1.63636363636363,0,0,0,0,0,0,0,0
2,4,4.97214463005877,1.5,0,0,0,0,0,0,0,0
2,5,5.87089511171378,1.22727272727273,0,0,0,0,0,0,0,0
3,4,4.90210830424084,1.09090909090909,0,0,0,0,0,0,0,0
3,5,6.04989932437293,1.33333333333333,0,0,0,0,0,0,0,0
4,5,1.60004882737997,1.22222222222222,0,0,0,0,0,0,0,0
