id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.51501739529846,1.35211267605634,0,0,0,0,0,0,0,0
1,3,3.94003741178895,2.21875,0,0,0,0,0,0,0,0
1,4,3.20000065077045,2.62962962962962,0,0,0,0,0,0,0,0
1,5,3.0711223802084,2.53571428571428,0,0,0,0,0,0,0,0
1,6,3.15265008585807,2.21874999999999,0,0,0,0,0,0,0,0
1,7,3.61617572369011,2.53571428571428,0,0,0,0,0,0,0,0
1,8,6.45590665565808,1.86842105263157,0,0,0,0,0,0,0,0
2,3,4.6546767476378,3,0,0,0,0,0,0,0,0
2,4,3.59906495594006,3.55555555555554,0,0,0,0,0,0,0,0
2,5,3.17643672377488,3.42857142857143,0,0,0,0,0,0,0,0
2,6,2.53606794565918,2.99999999999999,0,0,0,0,0,0,0,0
2,7,2.35177109074575,3.42857142857143,0,0,0,0,0,0,0,0
2,8,3.75722368031453,2.52631578947368,0,0,0,0,0,0,0,0
3,4,3.11209703351173,1.18518518518518,0,0,0,0,0,0,0,0
3,5,4.21070065428546,1.14285714285714,0,0,0,0,0,0,0,0
3,6,5.88695591965831,1,0,0,0,0,0,0,0,0
3,7,7.70544540496453,1.14285714285714,0,0,0,0,0,0,0,0
3,8,12.209664957211,1.1875,0,0,0,0,0,0,0,0
4,5,1.25573066544232,1.03703703703703,0,0,0,0,0,0,0,0
4,6,3.27474119667487,1.18518518518518,0,0,0,0,0,0,0,0
4,7,5.06760901777404,1.03703703703703,0,0,0,0,0,0,0,0
4,8,10.3505652591263,1.4074074074074,0,0,0,0,0,0,0,0
5,6,2.06908460704513,1.14285714285715,0,0,0,0,0,0,0,0
5,7,3.74446870975942,1,0,0,0,0,0,0,0,0
5,8,9.15517687128633,1.35714285714286,0,0,0,0,0,0,0,0
6,7,1.42848015581441,1.14285714285715,0,0,0,0,0,0,0,0
6,8,6.87865672695962,1.1875,0,0,0,0,0,0,0,0
7,8,6.04562542478936,1.35714285714286,0,0,0,0,0,0,0,0
