id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.24141250742299,1.140625,0,0,0,0,0,0,0,0
1,3,2.91658306618851,2.43333333333333,0,0,0,0,0,0,0,0
1,4,3.15423320480719,1.25862068965517,0,0,0,0,0,0,0,0
1,5,5.44838826392988,3.65000000000001,0,0,0,0,0,0,0,0
2,3,1.5078637991406,2.13333333333333,0,0,0,0,0,0,0,0
2,4,1.99288238999969,1.10344827586206,0,0,0,0,0,0,0,0
2,5,4.07014042557505,3.20000000000001,0,0,0,0,0,0,0,0
3,4,1.61255565603226,1.93333333333334,0,0,0,0,0,0,0,0
3,5,5.40370243444252,1.50000000000001,0,0,0,0,0,0,0,0
4,5,1.70068826226839,2.90000000000002,0,0,0,0,0,0,0,0
