id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.20612041450828,1.45161290322581,0,0,0,0,0,0,0,0
1,3,2.34586956159118,2.57142857142858,0,0,0,0,0,0,0,0
1,4,2.93035943664177,2.14285714285714,0,0,0,0,0,0,0,0
1,5,3.38569161644249,1.69811320754717,0,0,0,0,0,0,0,0
1,6,2.568723243237,1.125,0,0,0,0,0,0,0,0
2,3,1.93287284870235,1.77142857142858,0,0,0,0,0,0,0,0
2,4,2.897567077811,1.47619047619047,0,0,0,0,0,0,0,0
2,5,3.79139409546746,1.16981132075472,0,0,0,0,0,0,0,0
2,6,2.98606497101267,1.29032258064516,0,0,0,0,0,0,0,0
3,4,1.48040555496966,1.20000000000001,0,0,0,0,0,0,0,0
3,5,2.88808556368064,1.51428571428572,0,0,0,0,0,0,0,0
3,6,2.27570384218064,2.28571428571429,0,0,0,0,0,0,0,0
4,5,1.54794117577397,1.26190476190476,0,0,0,0,0,0,0,0
4,6,1.48828625231357,1.9047619047619,0,0,0,0,0,0,0,0
5,6,0.694868652665386,1.50943396226415,0,0,0,0,0,0,0,0
