id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.45370715043858,1.63636363636364,0,0,0,0,0,0,0,0
1,3,1.52404103601505,4.28571428571431,0,0,0,0,0,0,0,0
1,4,2.3447040433794,1.875,0,0,0,0,0,0,0,0
1,5,3.71493316331646,2.64705882352941,0,0,0,0,0,0,0,0
1,6,3.68840571720274,1.8,0,0,0,0,0,0,0,0
1,7,4.63913689075579,1.32352941176471,0,0,0,0,0,0,0,0
1,8,4.98356276253243,1.18421052631579,0,0,0,0,0,0,0,0
1,9,4.23051893119016,1.58888888888889,0,0,0,0,0,0,0,0
2,3,1.52461338816747,2.61904761904763,0,0,0,0,0,0,0,0
2,4,2.65765948268621,1.14583333333333,0,0,0,0,0,0,0,0
2,5,4.54555141006154,1.61764705882353,0,0,0,0,0,0,0,0
2,6,4.4062314151037,1.1,0,0,0,0,0,0,0,0
2,7,5.5020711883817,1.23636363636364,0,0,0,0,0,0,0,0
2,8,5.8864119444781,1.38181818181818,0,0,0,0,0,0,0,0
2,9,4.69761589993825,2.6,0,0,0,0,0,0,0,0
3,4,2.28806571070246,2.2857142857143,0,0,0,0,0,0,0,0
3,5,5.29992982956824,1.61904761904763,0,0,0,0,0,0,0,0
3,6,4.9005382099392,2.38095238095239,0,0,0,0,0,0,0,0
3,7,6.33553451583314,3.23809523809526,0,0,0,0,0,0,0,0
3,8,6.78529102553465,3.61904761904764,0,0,0,0,0,0,0,0
3,9,4.98018082711775,6.80952380952385,0,0,0,0,0,0,0,0
4,5,1.78186548771219,1.41176470588236,0,0,0,0,0,0,0,0
4,6,1.98584117722805,1.04166666666666,0,0,0,0,0,0,0,0
4,7,3.56525711050009,1.41666666666666,0,0,0,0,0,0,0,0
4,8,4.09042720177588,1.58333333333333,0,0,0,0,0,0,0,0
4,9,3.47827255668945,2.97916666666666,0,0,0,0,0,0,0,0
5,6,0.767187785034191,1.47058823529412,0,0,0,0,0,0,0,0
5,7,2.67064653991809,2,0,0,0,0,0,0,0,0
5,8,3.33409633140787,2.23529411764706,0,0,0,0,0,0,0,0
5,9,2.96946271774416,4.20588235294118,0,0,0,0,0,0,0,0
6,7,1.85827187870332,1.36,0,0,0,0,0,0,0,0
6,8,2.48128545835121,1.52,0,0,0,0,0,0,0,0
6,9,2.43451097217812,2.86,0,0,0,0,0,0,0,0
7,8,0.655321580185476,1.11764705882353,0,0,0,0,0,0,0,0
7,9,1.20174659322545,2.10294117647059,0,0,0,0,0,0,0,0
8,9,0.727848724937763,1.88157894736842,0,0,0,0,0,0,0,0
