id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.35379891359341,1.12068965517241,0,0,0,0,0,0,0,0
1,3,1.73758809055799,1.07407407407407,0,0,0,0,0,0,0,0
1,4,2.4001830584172,1.13725490196078,0,0,0,0,0,0,0,0
1,5,2.87258352552386,1.06896551724138,0,0,0,0,0,0,0,0
1,6,3.95704978294358,1.07407407407407,0,0,0,0,0,0,0,0
1,7,4.12543482634158,1.01724137931035,0,0,0,0,0,0,0,0
1,8,6.21381489735763,1.31818181818182,0,0,0,0,0,0,0,0
1,9,4.63681143511342,1.70689655172413,0,0,0,0,0,0,0,0
1,10,6.10352306127266,1.6551724137931,0,0,0,0,0,0,0,0
1,11,11.437569369389,2.14814814814815,0,0,0,0,0,0,0,0
1,12,11.9734077538347,2.07142857142858,0,0,0,0,0,0,0,0
1,13,6.21456715108512,3.22222222222222,0,0,0,0,0,0,0,0
1,14,6.67206089637514,4.14285714285714,0,0,0,0,0,0,0,0
1,15,6.70616554000868,2.63636363636364,0,0,0,0,0,0,0,0
1,16,11.2950464202572,2.89999999999999,0,0,0,0,0,0,0,0
2,3,0.543106844775009,1.2037037037037,0,0,0,0,0,0,0,0
2,4,0.823490223040637,1.27450980392157,0,0,0,0,0,0,0,0
2,5,1.45055100158402,1.04838709677419,0,0,0,0,0,0,0,0
2,6,2.34248878866461,1.2037037037037,0,0,0,0,0,0,0,0
2,7,2.61469472634315,1.10169491525424,0,0,0,0,0,0,0,0
2,8,4.32414820772992,1.47727272727273,0,0,0,0,0,0,0,0
2,9,3.60453024824726,1.52307692307692,0,0,0,0,0,0,0,0
2,10,4.96262019943662,1.47692307692308,0,0,0,0,0,0,0,0
2,11,8.75765935358856,2.40740740740741,0,0,0,0,0,0,0,0
2,12,9.28278392862848,2.32142857142859,0,0,0,0,0,0,0,0
2,13,4.20566498209808,3.61111111111111,0,0,0,0,0,0,0,0
2,14,4.45521070427472,4.64285714285714,0,0,0,0,0,0,0,0
2,15,4.53627064384478,2.95454545454546,0,0,0,0,0,0,0,0
2,16,8.4253777137513,3.24999999999999,0,0,0,0,0,0,0,0
3,4,0.878361699060481,1.05882352941176,0,0,0,0,0,0,0,0
3,5,1.73003302532862,1.14814814814815,0,0,0,0,0,0,0,0
3,6,2.60200012757939,1,0,0,0,0,0,0,0,0
3,7,2.98261598608469,1.09259259259259,0,0,0,0,0,0,0,0
3,8,4.83855343399357,1.22727272727273,0,0,0,0,0,0,0,0
3,9,4.04748292013787,1.83333333333333,0,0,0,0,0,0,0,0
3,10,5.48279328647563,1.77777777777778,0,0,0,0,0,0,0,0
3,11,9.77182915444311,2,0,0,0,0,0,0,0,0
3,12,10.3670300623708,1.92857142857144,0,0,0,0,0,0,0,0
3,13,4.03803769878268,3,0,0,0,0,0,0,0,0
3,14,4.34508432432181,3.85714285714285,0,0,0,0,0,0,0,0
3,15,4.53705122243664,2.45454545454546,0,0,0,0,0,0,0,0
3,16,9.34105432145519,2.69999999999999,0,0,0,0,0,0,0,0
4,5,0.969582012375386,1.2156862745098,0,0,0,0,0,0,0,0
4,6,1.8131292402152,1.05882352941177,0,0,0,0,0,0,0,0
4,7,2.22556520818145,1.15686274509804,0,0,0,0,0,0,0,0
4,8,4.04233826082856,1.15909090909091,0,0,0,0,0,0,0,0
4,9,3.52719592751964,1.94117647058823,0,0,0,0,0,0,0,0
4,10,4.97116959957572,1.88235294117647,0,0,0,0,0,0,0,0
4,11,9.1181250163222,1.88888888888889,0,0,0,0,0,0,0,0
4,12,9.73523886821391,1.82142857142858,0,0,0,0,0,0,0,0
4,13,4.17595058963012,2.83333333333333,0,0,0,0,0,0,0,0
4,14,4.40725598592183,3.64285714285714,0,0,0,0,0,0,0,0
4,15,4.33275349653083,2.31818181818182,0,0,0,0,0,0,0,0
4,16,8.74247487222523,2.54999999999999,0,0,0,0,0,0,0,0
5,6,0.881167747529698,1.14814814814815,0,0,0,0,0,0,0,0
5,7,1.15729040634811,1.05084745762712,0,0,0,0,0,0,0,0
5,8,2.72745948528278,1.40909090909091,0,0,0,0,0,0,0,0
5,9,2.60583250154683,1.59677419354838,0,0,0,0,0,0,0,0
5,10,3.93510590508277,1.54838709677419,0,0,0,0,0,0,0,0
5,11,7.14512219033084,2.2962962962963,0,0,0,0,0,0,0,0
5,12,7.68723488953692,2.21428571428573,0,0,0,0,0,0,0,0
5,13,4.26162014379508,3.44444444444444,0,0,0,0,0,0,0,0
5,14,4.38286293815196,4.42857142857142,0,0,0,0,0,0,0,0
5,15,4.02409128345722,2.81818181818182,0,0,0,0,0,0,0,0
5,16,6.88759931980976,3.09999999999999,0,0,0,0,0,0,0,0
6,7,0.632294537270662,1.09259259259259,0,0,0,0,0,0,0,0
6,8,1.97614364106689,1.22727272727273,0,0,0,0,0,0,0,0
6,9,2.40321207014494,1.83333333333333,0,0,0,0,0,0,0,0
6,10,3.70206548954619,1.77777777777777,0,0,0,0,0,0,0,0
6,11,6.5897367467683,2.00000000000001,0,0,0,0,0,0,0,0
6,12,7.19369560066333,1.92857142857144,0,0,0,0,0,0,0,0
6,13,4.58411188673699,3.00000000000001,0,0,0,0,0,0,0,0
6,14,4.66085999757072,3.85714285714286,0,0,0,0,0,0,0,0
6,15,3.9221121846423,2.45454545454546,0,0,0,0,0,0,0,0
6,16,6.2875460983313,2.7,0,0,0,0,0,0,0,0
7,8,1.50738903358019,1.34090909090909,0,0,0,0,0,0,0,0
7,9,1.88001319342038,1.67796610169491,0,0,0,0,0,0,0,0
7,10,3.15506958717172,1.62711864406779,0,0,0,0,0,0,0,0
7,11,5.9963031697558,2.18518518518519,0,0,0,0,0,0,0,0
7,12,6.53889649660513,2.10714285714287,0,0,0,0,0,0,0,0
7,13,5.19340890325719,3.27777777777778,0,0,0,0,0,0,0,0
7,14,5.28868256351681,4.21428571428572,0,0,0,0,0,0,0,0
7,15,4.46362459450302,2.68181818181819,0,0,0,0,0,0,0,0
7,16,5.93476527522155,2.95,0,0,0,0,0,0,0,0
8,9,1.77098506132521,2.25,0,0,0,0,0,0,0,0
8,10,2.813252166995,2.18181818181818,0,0,0,0,0,0,0,0
8,11,5.13453210685822,1.62962962962963,0,0,0,0,0,0,0,0
8,12,5.77552373233079,1.57142857142858,0,0,0,0,0,0,0,0
8,13,7.34669894795219,2.44444444444444,0,0,0,0,0,0,0,0
8,14,7.54229059659727,3.14285714285714,0,0,0,0,0,0,0,0
8,15,5.86089513874498,2,0,0,0,0,0,0,0,0
8,16,5.34048237082803,2.19999999999999,0,0,0,0,0,0,0,0
9,10,1.09231973028157,1.03125,0,0,0,0,0,0,0,0
9,11,3.94700660933059,3.66666666666666,0,0,0,0,0,0,0,0
9,12,4.15554864454372,3.5357142857143,0,0,0,0,0,0,0,0
9,13,5.86264979133078,5.49999999999999,0,0,0,0,0,0,0,0
9,14,5.92833833338631,7.07142857142855,0,0,0,0,0,0,0,0
9,15,5.20522741669675,4.49999999999999,0,0,0,0,0,0,0,0
9,16,4.57791957606732,4.94999999999998,0,0,0,0,0,0,0,0
10,11,3.82016939802743,3.55555555555556,0,0,0,0,0,0,0,0
10,12,3.84115705393666,3.42857142857145,0,0,0,0,0,0,0,0
10,13,7.45010075308704,5.33333333333333,0,0,0,0,0,0,0,0
10,14,7.55734550449959,6.85714285714285,0,0,0,0,0,0,0,0
10,15,6.59829986024252,4.36363636363636,0,0,0,0,0,0,0,0
10,16,4.95881522087364,4.79999999999999,0,0,0,0,0,0,0,0
11,12,1.0825436833894,1.03703703703703,0,0,0,0,0,0,0,0
11,13,14.4756926954238,1.5,0,0,0,0,0,0,0,0
11,14,15.3979726254988,1.92857142857142,0,0,0,0,0,0,0,0
11,15,11.3261628916224,1.22727272727273,0,0,0,0,0,0,0,0
11,16,3.4368782618111,1.34999999999999,0,0,0,0,0,0,0,0
12,13,15.4382268049446,1.55555555555555,0,0,0,0,0,0,0,0
12,14,16.4310557127878,1.99999999999999,0,0,0,0,0,0,0,0
12,15,12.2701915225477,1.27272727272727,0,0,0,0,0,0,0,0
12,16,4.42736518710622,1.39999999999999,0,0,0,0,0,0,0,0
13,14,0.631992138004895,1.28571428571428,0,0,0,0,0,0,0,0
13,15,2.43785253860852,1.22222222222222,0,0,0,0,0,0,0,0
13,16,13.4699059258396,1.11111111111111,0,0,0,0,0,0,0,0
14,15,2.16915811170607,1.57142857142857,0,0,0,0,0,0,0,0
14,16,14.4797316880453,1.42857142857143,0,0,0,0,0,0,0,0
15,16,9.86530602863126,1.1,0,0,0,0,0,0,0,0
