id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.22811418964603,1.11538461538461,0,0,0,0,0,0,0,0
1,3,2.43861226802924,1.19230769230769,0,0,0,0,0,0,0,0
1,4,4.97920580350657,1.15384615384615,0,0,0,0,0,0,0,0
1,5,5.54811391375484,1.40384615384615,0,0,0,0,0,0,0,0
2,3,1.19213277597571,1.06896551724138,0,0,0,0,0,0,0,0
2,4,3.59163100443911,1.03448275862069,0,0,0,0,0,0,0,0
2,5,4.26656784649464,1.25862068965517,0,0,0,0,0,0,0,0
3,4,2.34366036064361,1.03333333333334,0,0,0,0,0,0,0,0
3,5,3.09878510642517,1.17741935483871,0,0,0,0,0,0,0,0
4,5,1.03892798630736,1.21666666666667,0,0,0,0,0,0,0,0
