id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.7933315987682,1.31578947368421,0,0,0,0,0,0,0,0
1,3,5.82204777425042,1.2258064516129,0,0,0,0,0,0,0,0
1,4,7.98429980445043,2.11111111111112,0,0,0,0,0,0,0,0
1,5,8.44280327768504,1.52,0,0,0,0,0,0,0,0
1,6,8.86824677411009,1.31034482758621,0,0,0,0,0,0,0,0
1,7,9.93086794828425,1.22580645161291,0,0,0,0,0,0,0,0
1,8,6.21214580926394,1.02702702702702,0,0,0,0,0,0,0,0
1,9,8.83169386743267,1.40740740740742,0,0,0,0,0,0,0,0
1,10,10.6929808107411,1.08571428571428,0,0,0,0,0,0,0,0
1,11,11.8114610854719,1.15151515151515,0,0,0,0,0,0,0,0
1,12,12.8795439772231,1.1875,0,0,0,0,0,0,0,0
1,13,17.3651860866845,1.58333333333333,0,0,0,0,0,0,0,0
2,3,4.11659442279937,1.61290322580645,0,0,0,0,0,0,0,0
2,4,5.55442558673856,2.77777777777779,0,0,0,0,0,0,0,0
2,5,6.17701833861253,2,0,0,0,0,0,0,0,0
2,6,6.68833736841418,1.72413793103449,0,0,0,0,0,0,0,0
2,7,7.65656080331486,1.61290322580646,0,0,0,0,0,0,0,0
2,8,4.38728269416266,1.35135135135135,0,0,0,0,0,0,0,0
2,9,6.44789173366568,1.85185185185187,0,0,0,0,0,0,0,0
2,10,8.43713984237094,1.42857142857143,0,0,0,0,0,0,0,0
2,11,9.35138470995676,1.51515151515152,0,0,0,0,0,0,0,0
2,12,10.2462540854723,1.5625,0,0,0,0,0,0,0,0
2,13,13.7027293565496,2.08333333333333,0,0,0,0,0,0,0,0
3,4,0.932766929145016,1.72222222222223,0,0,0,0,0,0,0,0
3,5,2.35457110787523,1.24,0,0,0,0,0,0,0,0
3,6,3.27180717986593,1.06896551724139,0,0,0,0,0,0,0,0
3,7,4.65232422640515,1,0,0,0,0,0,0,0,0
3,8,1.07232002789024,1.19354838709677,0,0,0,0,0,0,0,0
3,9,2.97157560787897,1.14814814814816,0,0,0,0,0,0,0,0
3,10,5.83836854704229,1.12903225806452,0,0,0,0,0,0,0,0
3,11,6.94145790815049,1.06451612903226,0,0,0,0,0,0,0,0
3,12,8.06613192633001,1.03225806451613,0,0,0,0,0,0,0,0
3,13,12.4145076422708,1.29166666666667,0,0,0,0,0,0,0,0
4,5,2.0066142656847,1.38888888888889,0,0,0,0,0,0,0,0
4,6,3.21339996562326,1.61111111111111,0,0,0,0,0,0,0,0
4,7,4.9618704404074,1.72222222222223,0,0,0,0,0,0,0,0
4,8,0.839519736772014,2.05555555555557,0,0,0,0,0,0,0,0
4,9,2.82720470071645,1.5,0,0,0,0,0,0,0,0
4,10,6.41686989856603,1.94444444444446,0,0,0,0,0,0,0,0
4,11,7.8247333095039,1.83333333333334,0,0,0,0,0,0,0,0
4,12,9.26053994106175,1.77777777777779,0,0,0,0,0,0,0,0
4,13,15.1783426686776,1.33333333333334,0,0,0,0,0,0,0,0
5,6,1.20598075223444,1.16,0,0,0,0,0,0,0,0
5,7,2.80362829787636,1.24,0,0,0,0,0,0,0,0
5,8,1.46454810253572,1.48,0,0,0,0,0,0,0,0
5,9,0.967863810166281,1.07999999999999,0,0,0,0,0,0,0,0
5,10,4.23336614160515,1.4,0,0,0,0,0,0,0,0
5,11,5.39655172413793,1.32,0,0,0,0,0,0,0,0
5,12,6.61412815793794,1.28,0,0,0,0,0,0,0,0
5,13,11.2508965814232,1.04166666666666,0,0,0,0,0,0,0,0
6,7,1.53559615640166,1.06896551724138,0,0,0,0,0,0,0,0
6,8,2.32060677287357,1.27586206896553,0,0,0,0,0,0,0,0
6,9,0.942884198746011,1.07407407407408,0,0,0,0,0,0,0,0
6,10,2.95415821872323,1.20689655172415,0,0,0,0,0,0,0,0
6,11,4.00052025752968,1.13793103448276,0,0,0,0,0,0,0,0
6,12,5.11485918345181,1.10344827586208,0,0,0,0,0,0,0,0
6,13,9.17920165205168,1.20833333333332,0,0,0,0,0,0,0,0
7,8,3.55885391333651,1.19354838709678,0,0,0,0,0,0,0,0
7,9,2.23107711945616,1.14814814814815,0,0,0,0,0,0,0,0
7,10,1.46969696969697,1.12903225806452,0,0,0,0,0,0,0,0
7,11,2.43755007961375,1.06451612903226,0,0,0,0,0,0,0,0
7,12,3.4923881522962,1.03225806451613,0,0,0,0,0,0,0,0
7,13,7.17030146789491,1.29166666666666,0,0,0,0,0,0,0,0
8,9,1.79694293349845,1.37037037037038,0,0,0,0,0,0,0,0
8,10,4.69641641685378,1.05714285714286,0,0,0,0,0,0,0,0
8,11,5.67029495687474,1.12121212121212,0,0,0,0,0,0,0,0
8,12,6.67865965999332,1.15625,0,0,0,0,0,0,0,0
8,13,10.3827581219423,1.54166666666667,0,0,0,0,0,0,0,0
9,10,3.6141270968543,1.29629629629631,0,0,0,0,0,0,0,0
9,11,4.70944677100071,1.22222222222223,0,0,0,0,0,0,0,0
9,12,5.86979276526466,1.1851851851852,0,0,0,0,0,0,0,0
9,13,10.1644305215668,1.12499999999999,0,0,0,0,0,0,0,0
10,11,0.867771675995993,1.06060606060606,0,0,0,0,0,0,0,0
10,12,1.83636686457402,1.09375,0,0,0,0,0,0,0,0
10,13,5.0421378666212,1.45833333333333,0,0,0,0,0,0,0,0
11,12,0.985096036528132,1.03125,0,0,0,0,0,0,0,0
11,13,4.18736318758695,1.375,0,0,0,0,0,0,0,0
12,13,3.12760095841877,1.33333333333333,0,0,0,0,0,0,0,0
