id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.66909480027282,1.03333333333333,0,0,0,0,0,0,0,0
1,3,4.38679646560924,1.24193548387097,0,0,0,0,0,0,0,0
1,4,6.02364669669689,1.09677419354839,0,0,0,0,0,0,0,0
1,5,7.94898889313925,1.20967741935484,0,0,0,0,0,0,0,0
2,3,2.9718160362937,1.28333333333333,0,0,0,0,0,0,0,0
2,4,4.52765212765541,1.13333333333333,0,0,0,0,0,0,0,0
2,5,6.5634687540239,1.25,0,0,0,0,0,0,0,0
3,4,1.30006859784256,1.13235294117647,0,0,0,0,0,0,0,0
3,5,3.26061684806984,1.02666666666667,0,0,0,0,0,0,0,0
4,5,2.16156323442354,1.10294117647059,0,0,0,0,0,0,0,0
