id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.71796067734069,1.99999999999999,0,0,0,0,0,0,0,0
1,3,3.85482360255179,1.9375,0,0,0,0,0,0,0,0
1,4,5.95012590909027,2.0625,0,0,0,0,0,0,0,0
1,5,6.94298169355833,1.06666666666666,0,0,0,0,0,0,0,0
1,6,11.0587018695342,1.23076923076923,0,0,0,0,0,0,0,0
1,7,12.0471239135724,1.06666666666666,0,0,0,0,0,0,0,0
1,8,13.2306882327077,1.14285714285713,0,0,0,0,0,0,0,0
1,9,18.514414759188,1.87499999999999,0,0,0,0,0,0,0,0
1,10,4.21955336417636,2.875,0,0,0,0,0,0,0,0
1,11,2.63001098990881,2.81249999999999,0,0,0,0,0,0,0,0
1,12,2.93409251591812,3.74999999999999,0,0,0,0,0,0,0,0
1,13,2.70456291442828,5.12499999999998,0,0,0,0,0,0,0,0
1,14,6.89106787125552,2.99999999999999,0,0,0,0,0,0,0,0
1,15,7.66001183093082,2.99999999999999,0,0,0,0,0,0,0,0
1,16,6.34759747625549,4.6875,0,0,0,0,0,0,0,0
1,17,17.8347359420443,1.33333333333333,0,0,0,0,0,0,0,0
2,3,1.61445036696777,1.03225806451613,0,0,0,0,0,0,0,0
2,4,3.2462996686168,1.03125,0,0,0,0,0,0,0,0
2,5,6.25564480263912,2.13333333333332,0,0,0,0,0,0,0,0
2,6,5.31896211912545,2.46153846153846,0,0,0,0,0,0,0,0
2,7,6.21892000655946,2.13333333333332,0,0,0,0,0,0,0,0
2,8,6.86027164419427,2.28571428571426,0,0,0,0,0,0,0,0
2,9,12.4952644515785,1.06666666666667,0,0,0,0,0,0,0,0
2,10,3.85215344029124,1.43750000000001,0,0,0,0,0,0,0,0
2,11,1.88101091375956,1.40625,0,0,0,0,0,0,0,0
2,12,2.50059066746247,1.875,0,0,0,0,0,0,0,0
2,13,2.13664476373924,2.5625,0,0,0,0,0,0,0,0
2,14,4.71808356221041,1.5,0,0,0,0,0,0,0,0
2,15,5.32353266168248,1.5,0,0,0,0,0,0,0,0
2,16,4.77878167545722,2.34375000000001,0,0,0,0,0,0,0,0
2,17,9.50785343069107,2.66666666666664,0,0,0,0,0,0,0,0
3,4,1.72583765893551,1.06451612903226,0,0,0,0,0,0,0,0
3,5,8.59314581567492,2.06666666666666,0,0,0,0,0,0,0,0
3,6,3.18741391068316,2.38461538461539,0,0,0,0,0,0,0,0
3,7,4.1875908138447,2.06666666666666,0,0,0,0,0,0,0,0
3,8,4.8051926645255,2.21428571428569,0,0,0,0,0,0,0,0
3,9,11.0332253341374,1.03333333333334,0,0,0,0,0,0,0,0
3,10,4.42176801553419,1.48387096774194,0,0,0,0,0,0,0,0
3,11,2.00609355647754,1.4516129032258,0,0,0,0,0,0,0,0
3,12,2.66378703756056,1.93548387096774,0,0,0,0,0,0,0,0
3,13,1.92694923905125,2.64516129032258,0,0,0,0,0,0,0,0
3,14,3.62284142230356,1.54838709677419,0,0,0,0,0,0,0,0
3,15,4.21671010712661,1.54838709677419,0,0,0,0,0,0,0,0
3,16,3.92467570477898,2.41935483870968,0,0,0,0,0,0,0,0
3,17,7.40287754848318,2.58333333333332,0,0,0,0,0,0,0,0
4,5,10.5213489972637,2.2,0,0,0,0,0,0,0,0
4,6,0.690538268446461,2.53846153846154,0,0,0,0,0,0,0,0
4,7,1.71619127721824,2.2,0,0,0,0,0,0,0,0
4,8,2.25742575240344,2.35714285714284,0,0,0,0,0,0,0,0
4,9,8.98733747112313,1.10000000000001,0,0,0,0,0,0,0,0
4,10,5.36571513355003,1.39393939393939,0,0,0,0,0,0,0,0
4,11,3.01282051282051,1.36363636363636,0,0,0,0,0,0,0,0
4,12,3.37709737504578,1.81818181818181,0,0,0,0,0,0,0,0
4,13,2.26609763419687,2.48484848484848,0,0,0,0,0,0,0,0
4,14,2.68821313596038,1.45454545454545,0,0,0,0,0,0,0,0
4,15,3.18195357166567,1.45454545454545,0,0,0,0,0,0,0,0
4,16,3.06716369652639,2.27272727272727,0,0,0,0,0,0,0,0
4,17,4.6193367061666,2.74999999999999,0,0,0,0,0,0,0,0
5,6,19.0390642991654,1.15384615384616,0,0,0,0,0,0,0,0
5,7,19.5361772673729,1,0,0,0,0,0,0,0,0
5,8,21.0072463574922,1.07142857142856,0,0,0,0,0,0,0,0
5,9,23.7087783919692,1.99999999999998,0,0,0,0,0,0,0,0
5,10,5.54268089243911,3.06666666666666,0,0,0,0,0,0,0,0
5,11,5.81676217686628,2.99999999999998,0,0,0,0,0,0,0,0
5,12,4.94970257243357,3.99999999999998,0,0,0,0,0,0,0,0
5,13,4.56356482630658,5.46666666666664,0,0,0,0,0,0,0,0
5,14,10.3293338272216,3.19999999999998,0,0,0,0,0,0,0,0
5,15,11.112346870056,3.19999999999998,0,0,0,0,0,0,0,0
5,16,8.75911518165116,4.99999999999998,0,0,0,0,0,0,0,0
5,17,26.3754676721484,1.25,0,0,0,0,0,0,0,0
6,7,1.89285714285714,1.15384615384616,0,0,0,0,0,0,0,0
6,8,2.82357311889567,1.07692307692309,0,0,0,0,0,0,0,0
6,9,12.6025914390219,2.3076923076923,0,0,0,0,0,0,0,0
6,10,7.71052325831248,3.53846153846154,0,0,0,0,0,0,0,0
6,11,4.59384896093266,3.46153846153846,0,0,0,0,0,0,0,0
6,12,4.71728395095076,4.61538461538461,0,0,0,0,0,0,0,0
6,13,3.03077474713431,6.3076923076923,0,0,0,0,0,0,0,0
6,14,3.5654889758148,3.69230769230768,0,0,0,0,0,0,0,0
6,15,4.15171823594391,3.69230769230768,0,0,0,0,0,0,0,0
6,16,3.64834673301449,5.76923076923077,0,0,0,0,0,0,0,0
6,17,7.16178748637514,1.08333333333333,0,0,0,0,0,0,0,0
7,8,0.819645815448596,1.07142857142856,0,0,0,0,0,0,0,0
7,9,10.8981593190415,1.99999999999998,0,0,0,0,0,0,0,0
7,10,8.14161806022228,3.06666666666666,0,0,0,0,0,0,0,0
7,11,5.18269020661835,2.99999999999998,0,0,0,0,0,0,0,0
7,12,5.11656134527868,3.99999999999998,0,0,0,0,0,0,0,0
7,13,3.29647134827289,5.46666666666664,0,0,0,0,0,0,0,0
7,14,3.19726041711574,3.19999999999998,0,0,0,0,0,0,0,0
7,15,3.63436607677947,3.19999999999998,0,0,0,0,0,0,0,0
7,16,3.18447235779035,4.99999999999998,0,0,0,0,0,0,0,0
7,17,4.66901763239091,1.25,0,0,0,0,0,0,0,0
8,9,10.6766912260864,2.14285714285711,0,0,0,0,0,0,0,0
8,10,8.64704509580517,3.28571428571426,0,0,0,0,0,0,0,0
8,11,5.65979891493866,3.21428571428568,0,0,0,0,0,0,0,0
8,12,5.47924232177634,4.28571428571424,0,0,0,0,0,0,0,0
8,13,3.53749754613185,5.85714285714279,0,0,0,0,0,0,0,0
8,14,3.29806173961213,3.42857142857139,0,0,0,0,0,0,0,0
8,15,3.66672184866873,3.42857142857139,0,0,0,0,0,0,0,0
8,16,3.12997489374923,5.3571428571428,0,0,0,0,0,0,0,0
8,17,3.96228521714572,1.16666666666667,0,0,0,0,0,0,0,0
9,10,11.743868854797,1.53333333333334,0,0,0,0,0,0,0,0
9,11,9.93035302046768,1.5,0,0,0,0,0,0,0,0
9,12,8.68249978227101,2.00000000000001,0,0,0,0,0,0,0,0
9,13,6.20041555552728,2.73333333333334,0,0,0,0,0,0,0,0
9,14,5.69929116554087,1.6,0,0,0,0,0,0,0,0
9,15,5.14679323509944,1.6,0,0,0,0,0,0,0,0
9,16,3.07251734117017,2.50000000000001,0,0,0,0,0,0,0,0
9,17,8.8344884368617,2.49999999999997,0,0,0,0,0,0,0,0
10,11,2.09059977388391,1.02222222222223,0,0,0,0,0,0,0,0
10,12,1.0886318291888,1.30434782608695,0,0,0,0,0,0,0,0
10,13,1.55201560604468,1.78260869565217,0,0,0,0,0,0,0,0
10,14,4.76791610588493,1.04347826086956,0,0,0,0,0,0,0,0
10,15,5.22929424818376,1.04347826086956,0,0,0,0,0,0,0,0
10,16,4.75585906839667,1.63043478260869,0,0,0,0,0,0,0,0
10,17,10.4297947396645,3.83333333333331,0,0,0,0,0,0,0,0
11,12,0.87042617340933,1.33333333333333,0,0,0,0,0,0,0,0
11,13,0.825683573475171,1.82222222222222,0,0,0,0,0,0,0,0
11,14,3.32117101322162,1.06666666666667,0,0,0,0,0,0,0,0
11,15,3.84486419674472,1.06666666666667,0,0,0,0,0,0,0,0
11,16,3.71816113451558,1.66666666666667,0,0,0,0,0,0,0,0
11,17,7.4767516973193,3.74999999999997,0,0,0,0,0,0,0,0
12,13,0.619758321371601,1.36666666666667,0,0,0,0,0,0,0,0
12,14,3.12053521929648,1.25,0,0,0,0,0,0,0,0
12,15,3.53869701206672,1.25,0,0,0,0,0,0,0,0
12,16,3.46800385733035,1.25,0,0,0,0,0,0,0,0
12,17,6.80325924978264,4.99999999999996,0,0,0,0,0,0,0,0
13,14,1.92233831969938,1.70833333333333,0,0,0,0,0,0,0,0
13,15,2.26485889159051,1.70833333333333,0,0,0,0,0,0,0,0
13,16,2.42158870363403,1.09333333333333,0,0,0,0,0,0,0,0
13,17,4.42150235943977,6.83333333333327,0,0,0,0,0,0,0,0
14,15,0.513912349314334,1,0,0,0,0,0,0,0,0
14,16,1.12006439670208,1.5625,0,0,0,0,0,0,0,0
14,17,3.67895667577402,3.99999999999996,0,0,0,0,0,0,0,0
