id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.52073059928617,1.31081081081081,0,0,0,0,0,0,0,0
1,3,0.945585878205267,1.36619718309859,0,0,0,0,0,0,0,0
1,4,3.18397224395158,1.46969696969697,0,0,0,0,0,0,0,0
1,5,3.34615384615385,1.14117647058824,0,0,0,0,0,0,0,0
2,3,0.572247587004387,1.04225352112676,0,0,0,0,0,0,0,0
2,4,3.16634889203993,1.12121212121212,0,0,0,0,0,0,0,0
2,5,3.37203121539851,1.14864864864865,0,0,0,0,0,0,0,0
3,4,2.64237609357459,1.07575757575758,0,0,0,0,0,0,0,0
3,5,2.91020699156054,1.19718309859155,0,0,0,0,0,0,0,0
4,5,0.638824025952673,1.28787878787879,0,0,0,0,0,0,0,0
