id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.31481619798442,1.14545454545455,0,0,0,0,0,0,0,0
1,3,1.12109745523404,1.34042553191489,0,0,0,0,0,0,0,0
1,4,3.73971390208455,1.90909090909092,0,0,0,0,0,0,0,0
1,5,3.39389657240611,1.8,0,0,0,0,0,0,0,0
1,6,7.06279952420523,4.84615384615384,0,0,0,0,0,0,0,0
1,7,7.74648307298223,5.25000000000006,0,0,0,0,0,0,0,0
1,8,6.53791473668713,1.61538461538461,0,0,0,0,0,0,0,0
1,9,6.49330814181716,1.16666666666666,0,0,0,0,0,0,0,0
1,10,7.41082432115712,1.06779661016949,0,0,0,0,0,0,0,0
2,3,1.48301935430013,1.17021276595744,0,0,0,0,0,0,0,0
2,4,0.986740606640567,1.66666666666667,0,0,0,0,0,0,0,0
2,5,0.730465773950829,1.57142857142857,0,0,0,0,0,0,0,0
2,6,3.94120390684042,4.23076923076922,0,0,0,0,0,0,0,0
2,7,4.66209505679117,4.58333333333338,0,0,0,0,0,0,0,0
2,8,4.18930172957733,1.41025641025641,0,0,0,0,0,0,0,0
2,9,4.46414891514284,1.01851851851851,0,0,0,0,0,0,0,0
2,10,5.53533099251309,1.07272727272728,0,0,0,0,0,0,0,0
3,4,2.97410700883476,1.42424242424243,0,0,0,0,0,0,0,0
3,5,2.60256588714035,1.34285714285715,0,0,0,0,0,0,0,0
3,6,6.8910771614055,3.61538461538461,0,0,0,0,0,0,0,0
3,7,7.75754768644323,3.91666666666671,0,0,0,0,0,0,0,0
3,8,6.32831678202602,1.2051282051282,0,0,0,0,0,0,0,0
3,9,6.30867905573673,1.14893617021277,0,0,0,0,0,0,0,0
3,10,7.37232613190908,1.25531914893617,0,0,0,0,0,0,0,0
4,5,0.469207533339525,1.06060606060606,0,0,0,0,0,0,0,0
4,6,4.18075752219109,2.53846153846153,0,0,0,0,0,0,0,0
4,7,5.23978135440551,2.75000000000002,0,0,0,0,0,0,0,0
4,8,4.29474449145856,1.18181818181819,0,0,0,0,0,0,0,0
4,9,4.61628428412809,1.63636363636365,0,0,0,0,0,0,0,0
4,10,5.93601675334818,1.7878787878788,0,0,0,0,0,0,0,0
5,6,4.66913067390495,2.69230769230768,0,0,0,0,0,0,0,0
5,7,5.69072375045424,2.91666666666669,0,0,0,0,0,0,0,0
5,8,4.57212310804516,1.11428571428572,0,0,0,0,0,0,0,0
5,9,4.83456915941869,1.54285714285715,0,0,0,0,0,0,0,0
5,10,6.11369937552732,1.68571428571429,0,0,0,0,0,0,0,0
6,7,1.77538728169378,1.08333333333335,0,0,0,0,0,0,0,0
6,8,2.7932319936615,3,0,0,0,0,0,0,0,0
6,9,3.50492127680566,4.15384615384616,0,0,0,0,0,0,0,0
6,10,5.21025890330856,4.53846153846154,0,0,0,0,0,0,0,0
7,8,2.19160959881145,3.25000000000004,0,0,0,0,0,0,0,0
7,9,2.97545051800966,4.50000000000006,0,0,0,0,0,0,0,0
7,10,4.70306555661681,4.91666666666673,0,0,0,0,0,0,0,0
8,9,1.00005780848055,1.38461538461539,0,0,0,0,0,0,0,0
8,10,2.42097078500703,1.51282051282051,0,0,0,0,0,0,0,0
9,10,1.27875340659741,1.09259259259259,0,0,0,0,0,0,0,0
