id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.655671563860498,1.07017543859649,0,0,0,0,0,0,0,0
1,3,2.44936257064813,1.16326530612245,0,0,0,0,0,0,0,0
1,4,3.91585886074612,1.72727272727273,0,0,0,0,0,0,0,0
1,5,3.75741151451868,1.11764705882353,0,0,0,0,0,0,0,0
2,3,1.65905977554848,1.24489795918368,0,0,0,0,0,0,0,0
2,4,2.9278520780353,1.84848484848485,0,0,0,0,0,0,0,0
2,5,2.93254303863889,1.19607843137255,0,0,0,0,0,0,0,0
3,4,1.21768155281626,1.48484848484848,0,0,0,0,0,0,0,0
3,5,1.48569848892701,1.04081632653061,0,0,0,0,0,0,0,0
4,5,0.660365630874221,1.54545454545454,0,0,0,0,0,0,0,0
