id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.903465549979631,1.14285714285714,0,0,0,0,0,0,0,0
1,3,2.40825583785352,1.4,0,0,0,0,0,0,0,0
1,4,3.74608666680532,1.08928571428571,0,0,0,0,0,0,0,0
1,5,4.81288791120406,1.33333333333334,0,0,0,0,0,0,0,0
1,6,2.56818181818181,1.35714285714286,0,0,0,0,0,0,0,0
1,7,4.75351491004288,1.23214285714285,0,0,0,0,0,0,0,0
2,3,1.50946226563003,1.6,0,0,0,0,0,0,0,0
2,4,2.68611838905139,1.04918032786885,0,0,0,0,0,0,0,0
2,5,3.54038894227521,1.52380952380952,0,0,0,0,0,0,0,0
2,6,1.68251815649602,1.18750000000001,0,0,0,0,0,0,0,0
2,7,3.67779862483759,1.078125,0,0,0,0,0,0,0,0
3,4,2.31119734622951,1.525,0,0,0,0,0,0,0,0
3,5,3.04965841018274,1.05,0,0,0,0,0,0,0,0
3,6,1.29600249739193,1.90000000000001,0,0,0,0,0,0,0,0
3,7,3.59606112080242,1.725,0,0,0,0,0,0,0,0
4,5,0.665455902454128,1.45238095238095,0,0,0,0,0,0,0,0
4,6,0.73200434327262,1.24590163934427,0,0,0,0,0,0,0,0
4,7,1.2234638962084,1.1311475409836,0,0,0,0,0,0,0,0
5,6,1.26032079380753,1.80952380952382,0,0,0,0,0,0,0,0
5,7,1.43797443411762,1.64285714285714,0,0,0,0,0,0,0,0
6,7,1.76166065854411,1.10144927536232,0,0,0,0,0,0,0,0
