id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,5.30890226772366,1,0,0,0,0,0,0,0,0
1,3,5.87624766678769,1.7741935483871,0,0,0,0,0,0,0,0
1,4,2.85101373567153,1.32258064516128,0,0,0,0,0,0,0,0
1,5,1.24047390549099,1.25806451612903,0,0,0,0,0,0,0,0
1,6,3.35366374749791,1.67741935483871,0,0,0,0,0,0,0,0
1,7,1.74618116286491,1.93548387096774,0,0,0,0,0,0,0,0
1,8,3.15690714729058,1.7741935483871,0,0,0,0,0,0,0,0
1,9,3.87470399191097,1.4516129032258,0,0,0,0,0,0,0,0
1,10,4.4187345524138,1.48387096774194,0,0,0,0,0,0,0,0
1,11,6.33303084577097,1.80645161290323,0,0,0,0,0,0,0,0
1,12,4.7917524218379,2.35483870967742,0,0,0,0,0,0,0,0
1,13,3.34857103851777,3.03225806451613,0,0,0,0,0,0,0,0
2,3,2.04918562093137,1.7741935483871,0,0,0,0,0,0,0,0
2,4,2.30681023423908,1.32258064516128,0,0,0,0,0,0,0,0
2,5,4.99095099522473,1.25806451612903,0,0,0,0,0,0,0,0
2,6,7.03476220122289,1.67741935483871,0,0,0,0,0,0,0,0
2,7,4.68133157920114,1.93548387096774,0,0,0,0,0,0,0,0
2,8,2.42797825788617,1.7741935483871,0,0,0,0,0,0,0,0
2,9,2.0781977329346,1.4516129032258,0,0,0,0,0,0,0,0
2,10,1.4486196546001,1.48387096774194,0,0,0,0,0,0,0,0
2,11,2.87413787357471,1.80645161290323,0,0,0,0,0,0,0,0
2,12,2.26906779075753,2.35483870967742,0,0,0,0,0,0,0,0
2,13,2.08953200501931,3.03225806451613,0,0,0,0,0,0,0,0
3,4,3.42683003116583,1.34146341463415,0,0,0,0,0,0,0,0
3,5,5.54599272539146,1.41025641025641,0,0,0,0,0,0,0,0
3,6,7.05535677475956,1.05769230769231,0,0,0,0,0,0,0,0
3,7,5.16732499820275,1.09090909090909,0,0,0,0,0,0,0,0
3,8,3.08664143882972,1,0,0,0,0,0,0,0,0
3,9,2.82667649369361,1.22222222222223,0,0,0,0,0,0,0,0
3,10,2.10900385608325,1.19565217391304,0,0,0,0,0,0,0,0
3,11,1.31993511779999,1.01818181818182,0,0,0,0,0,0,0,0
3,12,1.56571933972256,1.32727272727273,0,0,0,0,0,0,0,0
3,13,2.10207513602226,1.70909090909091,0,0,0,0,0,0,0,0
4,5,2.45079706422218,1.05128205128205,0,0,0,0,0,0,0,0
4,6,4.59073047956343,1.26829268292684,0,0,0,0,0,0,0,0
4,7,2.62749594251795,1.46341463414635,0,0,0,0,0,0,0,0
4,8,0.932277118136019,1.34146341463415,0,0,0,0,0,0,0,0
4,9,1.05705285370824,1.09756097560976,0,0,0,0,0,0,0,0
4,10,1.57835805919742,1.1219512195122,0,0,0,0,0,0,0,0
4,11,3.60519753282915,1.36585365853659,0,0,0,0,0,0,0,0
4,12,2.57138765497256,1.78048780487806,0,0,0,0,0,0,0,0
4,13,1.66666666666667,2.29268292682928,0,0,0,0,0,0,0,0
5,6,2.57736236561254,1.33333333333333,0,0,0,0,0,0,0,0
5,7,0.847161064495424,1.53846153846154,0,0,0,0,0,0,0,0
5,8,2.50741318277853,1.41025641025641,0,0,0,0,0,0,0,0
5,9,3.25427069829444,1.15384615384615,0,0,0,0,0,0,0,0
5,10,3.90412788377532,1.17948717948718,0,0,0,0,0,0,0,0
5,11,5.72236705957795,1.43589743589744,0,0,0,0,0,0,0,0
5,12,4.28427245091549,1.87179487179487,0,0,0,0,0,0,0,0
5,13,2.85106198965911,2.41025641025641,0,0,0,0,0,0,0,0
6,7,1.45546669175778,1.15384615384615,0,0,0,0,0,0,0,0
6,8,4.17322946631632,1.05769230769231,0,0,0,0,0,0,0,0
6,9,5.09345126888067,1.15555555555556,0,0,0,0,0,0,0,0
6,10,5.69753375407294,1.1304347826087,0,0,0,0,0,0,0,0
6,11,7.09578909692877,1.07692307692308,0,0,0,0,0,0,0,0
6,12,5.55710428190798,1.40384615384615,0,0,0,0,0,0,0,0
6,13,3.93094000973114,1.80769230769231,0,0,0,0,0,0,0,0
7,8,2.47551335112675,1.09090909090909,0,0,0,0,0,0,0,0
7,9,3.15381926617852,1.33333333333333,0,0,0,0,0,0,0,0
7,10,3.73028220647965,1.30434782608696,0,0,0,0,0,0,0,0
7,11,5.20274154840509,1.07142857142857,0,0,0,0,0,0,0,0
7,12,4.00768807214898,1.21666666666667,0,0,0,0,0,0,0,0
7,13,2.71052370871575,1.56666666666667,0,0,0,0,0,0,0,0
8,9,0.569385633819472,1.22222222222223,0,0,0,0,0,0,0,0
8,10,1.25309146192128,1.19565217391304,0,0,0,0,0,0,0,0
8,11,2.89464099917099,1.01818181818182,0,0,0,0,0,0,0,0
8,12,1.94014436479608,1.32727272727273,0,0,0,0,0,0,0,0
8,13,0.987398644448797,1.70909090909091,0,0,0,0,0,0,0,0
9,10,0.767659305343868,1.02222222222222,0,0,0,0,0,0,0,0
9,11,2.69716127679526,1.24444444444445,0,0,0,0,0,0,0,0
9,12,1.75278331622423,1.62222222222223,0,0,0,0,0,0,0,0
9,13,0.994498608872597,2.08888888888889,0,0,0,0,0,0,0,0
10,11,2.08233540112992,1.21739130434783,0,0,0,0,0,0,0,0
10,12,1.35421934508486,1.58695652173913,0,0,0,0,0,0,0,0
10,13,1.07145238068784,2.04347826086957,0,0,0,0,0,0,0,0
11,12,0.690270794402596,1.30357142857143,0,0,0,0,0,0,0,0
11,13,1.55346208336233,1.67857142857143,0,0,0,0,0,0,0,0
12,13,0.865782124403999,1.28767123287671,0,0,0,0,0,0,0,0
