id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.86310608380572,1.4,0,0,0,0,0,0,0,0
1,3,4.02743404663565,1.27272727272727,0,0,0,0,0,0,0,0
1,4,2.96587261481498,2.11320754716982,0,0,0,0,0,0,0,0
1,5,3.88470000754067,2.54545454545455,0,0,0,0,0,0,0,0
1,6,3.75448522397574,2,0,0,0,0,0,0,0,0
1,7,1.5539416338214,3.20000000000001,0,0,0,0,0,0,0,0
1,8,1.79108141786725,2.8,0,0,0,0,0,0,0,0
2,3,2.68026401549246,1.1,0,0,0,0,0,0,0,0
2,4,1.0249033217465,1.50943396226416,0,0,0,0,0,0,0,0
2,5,2.04973603031332,1.81818181818182,0,0,0,0,0,0,0,0
2,6,2.00805309918213,1.42857142857143,0,0,0,0,0,0,0,0
2,7,1.13474096208769,2.2857142857143,0,0,0,0,0,0,0,0
2,8,0.715891053163817,2,0,0,0,0,0,0,0,0
3,4,2.24204353600531,1.66037735849057,0,0,0,0,0,0,0,0
3,5,1.51850008760941,2,0,0,0,0,0,0,0,0
3,6,1.3111765814633,1.57142857142857,0,0,0,0,0,0,0,0
3,7,4.69243755309561,2.51428571428572,0,0,0,0,0,0,0,0
3,8,4.17190426019701,2.2,0,0,0,0,0,0,0,0
4,5,1.21605793307242,1.20454545454545,0,0,0,0,0,0,0,0
4,6,1.38686953986766,1.05660377358491,0,0,0,0,0,0,0,0
4,7,2.9664532764435,1.51428571428572,0,0,0,0,0,0,0,0
4,8,2.34529415448473,1.325,0,0,0,0,0,0,0,0
5,6,0.83198557679806,1.27272727272727,0,0,0,0,0,0,0,0
5,7,4.78648420248828,1.25714285714286,0,0,0,0,0,0,0,0
5,8,3.9966858435992,1.1,0,0,0,0,0,0,0,0
6,7,4.43185600661007,1.60000000000001,0,0,0,0,0,0,0,0
6,8,3.73836447174578,1.4,0,0,0,0,0,0,0,0
7,8,0.595240380947995,1.14285714285715,0,0,0,0,0,0,0,0
